rosbagTimestamp,address,timestamp_ms,x_m,y_m,z_m,flags
1545310964810542526,5,941963,1.97,-0.602,-0.726,2
1545310964928349819,5,942080,1.972,-0.624,-0.722,2
1545310965047054602,5,942196,1.973,-0.642,-0.721,2
1545310965164674412,5,942311,1.975,-0.662,-0.723,2
1545310965282353841,5,942427,1.977,-0.683,-0.722,2
1545310965400574561,5,942544,1.977,-0.698,-0.727,2
1545310965518599459,5,942660,1.979,-0.721,-0.727,2
1545310965638456440,5,942775,1.98,-0.743,-0.725,2
1545310965756223380,5,942891,1.98,-0.76,-0.727,2
1545310965873519531,5,943009,1.981,-0.779,-0.725,2
1545310965991776247,5,943124,1.981,-0.795,-0.725,2
1545310966109548335,5,943240,1.983,-0.813,-0.723,2
1545310966227638818,5,943357,1.985,-0.83,-0.721,2
1545310966346488126,5,943473,1.986,-0.844,-0.721,2
1545310966464405140,5,943588,1.988,-0.858,-0.72,2
1545310966582502690,5,943704,1.99,-0.872,-0.72,2
1545310966700647388,5,943821,1.991,-0.887,-0.72,2
1545310966819688233,5,943937,1.993,-0.905,-0.718,2
1545310966936390129,5,944053,1.995,-0.924,-0.715,2
1545310967056519762,5,944170,1.997,-0.941,-0.716,2
1545310967173833573,5,944286,1.999,-0.959,-0.717,2
1545310967291686351,5,944401,2.0,-0.973,-0.719,2
1545310967409671683,5,944517,2.003,-0.988,-0.718,2
1545310967528148767,5,944634,2.005,-1.005,-0.711,2
1545310967646564136,5,944750,2.008,-1.019,-0.708,2
1545310967764203972,5,944865,2.009,-1.04,-0.699,2
1545310967883922571,5,944981,2.009,-1.059,-0.697,2
1545310968000641009,5,945099,2.009,-1.075,-0.701,2
1545310968118597967,5,945214,2.008,-1.095,-0.699,2
1545310968236054572,5,945330,2.008,-1.112,-0.699,2
1545310968355586903,5,945447,2.007,-1.127,-0.702,2
1545310968473696438,5,945563,2.006,-1.143,-0.701,2
1545310968591546366,5,945678,2.005,-1.16,-0.697,2
1545310968709300362,5,945794,2.003,-1.173,-0.698,2
1545310968827541074,5,945911,2.001,-1.189,-0.693,2
1545310968946580657,5,946027,1.999,-1.204,-0.692,2
1545310969064690003,5,946144,1.998,-1.221,-0.685,2
1545310969182713230,5,946260,1.991,-1.223,-0.699,2
1545310969300488352,5,946377,1.983,-1.229,-0.706,2
1545310969418633814,5,946493,1.979,-1.247,-0.692,2
1545310969536435784,5,946608,1.965,-1.252,-0.698,2
1545310969654922716,5,946724,1.957,-1.273,-0.681,2
1545310969774017467,5,946841,1.948,-1.289,-0.668,2
1545310969891156634,5,946956,1.935,-1.294,-0.67,2
1545310970010383892,5,947072,1.942,-1.337,-0.599,2
1545310970127027629,5,947190,1.926,-1.331,-0.611,2
1545310970245940496,5,947306,1.91,-1.324,-0.622,2
1545310970363426456,5,947421,1.892,-1.315,-0.64,2
1545310970482387430,5,947537,1.857,-1.272,-0.719,2
1545310970600580110,5,947654,1.85,-1.285,-0.703,2
1545310970718613828,5,947769,1.843,-1.297,-0.687,2
1545310970837630850,5,947885,1.835,-1.308,-0.671,2
1545310970954507843,5,948001,1.827,-1.32,-0.657,2
1545310971073924345,5,948118,1.814,-1.326,-0.649,2
1545310971190493584,5,948234,1.8,-1.33,-0.648,2
1545310971309719729,5,948350,1.787,-1.335,-0.642,2
1545310971427344093,5,948467,1.772,-1.338,-0.641,2
1545310971546152449,5,948583,1.757,-1.34,-0.644,2
