rosbagTimestamp,data
1545124921107824929,19.71783638
1545124921108151148,19.6892662048
1545124921108783702,19.7499790192
1545124921109017189,19.7071228027
1545124921109195463,19.7106933594
1545124921109317143,19.7035522461
1545124921109821939,19.7035522461
1545124921109933463,19.71783638
1545124921109999824,19.6928367615
1545124921110101415,19.7285518646
1545124921110188184,19.6999797821
1545124921110463526,19.6999797821
1545124921110539079,19.721408844
1545124921110654705,19.7035522461
1545124921110764331,19.7106933594
1545124921111037308,19.6964092255
1545124921111233038,19.7071228027
1545124921111317735,19.7249794006
1545124921111476610,19.7071228027
1545124921111550226,19.7356948853
1545124921111675133,19.7106933594
1545124921111709929,19.7035522461
1545124921111982814,19.721408844
1545124921112192476,19.7321224213
1545124921112281942,19.7428379059
1545124921112623871,19.6821231842
1545124921112659925,19.7106933594
1545124921112752537,19.6892662048
1545124921132877778,19.7249794006
1545124921182188102,19.6928367615
1545124921234814163,19.6856937408
1545124921284051011,19.7071228027
1545124921337129736,19.6714076996
1545124921382432841,19.6749801636
1545124921434474930,19.6678371429
1545124921487631266,19.6785507202
1545124921536369981,19.6964092255
1545124921587117933,19.7071228027
1545124921638212609,19.6964092255
1545124921687778201,19.6892662048
1545124921738883611,19.6392650604
1545124921787836595,19.6464080811
1545124921837034224,19.6535511017
1545124921888233903,19.6249790192
1545124921939797018,19.6321220398
1545124921990411309,19.6178379059
1545124922039337020,19.6071224213
1545124922092159288,19.6178379059
1545124922141606010,19.6285514832
1545124922190906485,19.6321220398
1545124922240531494,19.6035518646
1545124922291954451,19.6214084625
1545124922343834296,19.59283638
1545124922393520289,19.6214084625
1545124922445383597,19.5892658234
1545124922493836117,19.6035518646
1545124922545585684,19.5714092255
1545124922596351428,19.5642662048
1545124922646003835,19.5749797821
1545124922693806527,19.5785503387
1545124922746364924,19.5749797821
1545124922797116768,19.5285511017
1545124922847020235,19.5749797821
1545124922898258031,19.5821228027
1545124922946898937,19.5749797821
1545124922999687747,19.5464076996
1545124923048865606,19.5714092255
1545124923101523148,19.5714092255
1545124923152504195,19.5356941223
1545124923198466403,19.5714092255
1545124923250208837,19.5749797821
1545124923303115379,19.539264679
1545124923351875670,19.5178375244
1545124923400560931,19.5606937408
1545124923450809062,19.5535507202
1545124923503649895,19.5785503387
1545124923554994013,19.5428371429
1545124923606144270,19.5785503387
1545124923653664066,19.5821228027
1545124923704403475,19.5856933594
1545124923753429652,19.6106948853
1545124923807905557,19.5678367615
1545124923857181995,19.59283638
1545124923907740544,19.5785503387
1545124923955889853,19.5785503387
1545124924005321491,19.5678367615
1545124924057584426,19.596408844
1545124924108423595,19.59283638
1545124924157465094,19.5714092255
1545124924208541281,19.6142654419
1545124924257645715,19.6285514832
1545124924309912993,19.5999794006
1545124924359254952,19.59283638
1545124924411663980,19.6392650604
1545124924461312928,19.6106948853
1545124924511553942,19.5678367615
1545124924563138615,19.6249790192
1545124924613217466,19.6142654419
1545124924663492544,19.59283638
1545124924713555375,19.6178379059
1545124924763653986,19.5714092255
1545124924812784747,19.6392650604
1545124924863929501,19.6392650604
1545124924915114482,19.6464080811
1545124924968242242,19.6178379059
1545124925015244312,19.649980545
1545124925067263698,19.6214084625
1545124925120383341,19.5999794006
1545124925167312127,19.6356945038
1545124925217346521,19.6321220398
1545124925267876004,19.6285514832
1545124925317372483,19.5714092255
1545124925369205568,19.6106948853
1545124925420916568,19.6214084625
1545124925469355385,19.5892658234
1545124925518290622,19.6106948853
1545124925569879988,19.59283638
1545124925622057894,19.5999794006
1545124925672341519,19.6106948853
1545124925722390067,19.6285514832
1545124925773186791,19.6285514832
1545124925822333396,19.6035518646
1545124925874019087,19.6285514832
1545124925924791811,19.6035518646
1545124925975469354,19.6249790192
1545124926024678006,19.5999794006
1545124926074399757,19.6178379059
1545124926123536343,19.6464080811
1545124926176780486,19.5821228027
1545124926227570990,19.6392650604
1545124926275986095,19.6214084625
1545124926328346009,19.6035518646
1545124926377500803,19.6035518646
1545124926429831971,19.6678371429
1545124926478953757,19.6106948853
1545124926528833387,19.649980545
1545124926580256285,19.6106948853
1545124926630893384,19.6428375244
1545124926681418956,19.6464080811
1545124926733128799,19.6464080811
1545124926781513347,19.6321220398
1545124926829862023,19.6392650604
1545124926881179163,19.596408844
1545124926933405199,19.6392650604
1545124926983323176,19.5999794006
1545124927031666849,19.6285514832
1545124927084282006,19.6142654419
1545124927132926130,19.6142654419
1545124927184031065,19.6178379059
1545124927238545782,19.596408844
1545124927287491790,19.6428375244
1545124927336873138,19.6142654419
1545124927386610954,19.6535511017
1545124927435101225,19.6142654419
1545124927488744653,19.6178379059
1545124927539169652,19.6106948853
1545124927588995116,19.6142654419
1545124927638951671,19.6035518646
1545124927688290610,19.6249790192
1545124927740076285,19.6071224213
1545124927789114596,19.6392650604
1545124927839706824,19.6571235657
1545124927890973466,19.6571235657
1545124927943717204,19.6464080811
1545124927992378873,19.6321220398
1545124928045791197,19.6142654419
1545124928091194418,19.6178379059
1545124928142596843,19.6071224213
1545124928193269559,19.6356945038
1545124928245308277,19.6285514832
1545124928296837984,19.6285514832
1545124928344661591,19.6178379059
1545124928393829919,19.6214084625
1545124928445051633,19.6142654419
1545124928497705166,19.6535511017
1545124928548730950,19.6356945038
1545124928597686793,19.6249790192
1545124928647009166,19.6285514832
1545124928699161455,19.5821228027
1545124928747991047,19.5999794006
1545124928799171715,19.6392650604
1545124928849532713,19.6321220398
1545124928899250588,19.6214084625
1545124928950923113,19.6392650604
1545124929002217724,19.6106948853
1545124929054422371,19.649980545
1545124929100989451,19.6356945038
1545124929151497167,19.6356945038
1545124929204094929,19.6678371429
1545124929253178777,19.6464080811
1545124929305762559,19.6392650604
1545124929352689835,19.6428375244
