rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vector,x,y,z
1545133011166378318,,0,,1545133008,677542489,"""imu_link""",,1.68304564,0.680237304,-0.14648448
1545133011166425939,,1,,1545133008,728919762,"""imu_link""",,1.68304564,0.67749072,-0.148925888
1545133011166460623,,2,,1545133008,781547015,"""imu_link""",,1.680299056,0.67749072,-0.14648448
1545133011166499667,,3,,1545133008,832674843,"""imu_link""",,1.68304564,0.680237304,-0.14648448
1545133011166553865,,4,,1545133008,880118141,"""imu_link""",,1.677552472,0.674744136,-0.148925888
1545133011166585449,,5,,1545133008,929566779,"""imu_link""",,1.680299056,0.674744136,-0.151672472
1545133011166637791,,6,,1545133008,980790282,"""imu_link""",,1.68304564,0.674744136,-0.14648448
1545133011166689929,,7,,1545133009,31683490,"""imu_link""",,1.685487048,0.67749072,-0.148925888
1545133011166988977,,8,,1545133009,82424685,"""imu_link""",,1.677552472,0.680237304,-0.143737896
1545133011168227839,,9,,1545133009,132660838,"""imu_link""",,1.685487048,0.682983888,-0.143737896
1545133011169111320,,10,,1545133009,181192789,"""imu_link""",,1.680299056,0.680237304,-0.148925888
1545133011169180906,,11,,1545133009,232461371,"""imu_link""",,1.68304564,0.680237304,-0.14648448
1545133011169221955,,12,,1545133009,283191363,"""imu_link""",,1.68304564,0.680237304,-0.14648448
1545133011169270144,,13,,1545133009,334014488,"""imu_link""",,1.680299056,0.67749072,-0.143737896
1545133011169309757,,14,,1545133009,384546004,"""imu_link""",,1.68304564,0.67749072,-0.143737896
1545133011169385088,,15,,1545133009,435218668,"""imu_link""",,1.677552472,0.674744136,-0.14648448
1545133011169456314,,16,,1545133009,484002071,"""imu_link""",,1.68304564,0.674744136,-0.151672472
1545133011169511698,,17,,1545133009,535784063,"""imu_link""",,1.680299056,0.682983888,-0.14648448
1545133011169598105,,18,,1545133009,585938702,"""imu_link""",,1.680299056,0.682983888,-0.148925888
1545133011169614743,,19,,1545133009,637389354,"""imu_link""",,1.677552472,0.671997552,-0.14648448
1545133011169647915,,20,,1545133009,685384490,"""imu_link""",,1.680299056,0.680237304,-0.148925888
1545133011170211744,,21,,1545133009,737457539,"""imu_link""",,1.68304564,0.67749072,-0.14648448
1545133011171510720,,22,,1545133009,789784249,"""imu_link""",,1.68304564,0.682983888,-0.143737896
1545133011171580399,,23,,1545133009,838086423,"""imu_link""",,1.680299056,0.671997552,-0.143737896
1545133011171600543,,24,,1545133009,887927716,"""imu_link""",,1.680299056,0.680237304,-0.143737896
1545133011171626065,,25,,1545133009,937940150,"""imu_link""",,1.68304564,0.67749072,-0.14648448
1545133011171670028,,26,,1545133009,988223727,"""imu_link""",,1.685487048,0.682983888,-0.148925888
1545133011171727267,,27,,1545133010,39014579,"""imu_link""",,1.68304564,0.685730472,-0.143737896
1545133011171772024,,28,,1545133010,91371021,"""imu_link""",,1.685487048,0.674744136,-0.143737896
1545133011171813561,,29,,1545133010,139699405,"""imu_link""",,1.68304564,0.682983888,-0.143737896
1545133011171910946,,30,,1545133010,190727401,"""imu_link""",,1.680299056,0.67749072,-0.14648448
1545133011171958010,,31,,1545133010,239697930,"""imu_link""",,1.680299056,0.680237304,-0.148925888
1545133011172009889,,32,,1545133010,293655735,"""imu_link""",,1.68304564,0.67749072,-0.151672472
1545133011172042927,,33,,1545133010,344288007,"""imu_link""",,1.685487048,0.67749072,-0.143737896
1545133011172081448,,34,,1545133010,395373092,"""imu_link""",,1.68304564,0.67749072,-0.143737896
1545133011172173540,,35,,1545133010,442488220,"""imu_link""",,1.68304564,0.674744136,-0.143737896
1545133011172197731,,36,,1545133010,492168775,"""imu_link""",,1.685487048,0.680237304,-0.143737896
1545133011172275471,,37,,1545133010,545193060,"""imu_link""",,1.680299056,0.67749072,-0.14648448
1545133011172463284,,38,,1545133010,596119110,"""imu_link""",,1.68304564,0.67749072,-0.14648448
1545133011172542617,,39,,1545133010,646148973,"""imu_link""",,1.685487048,0.682983888,-0.14648448
1545133011172554252,,40,,1545133010,696953780,"""imu_link""",,1.677552472,0.67749072,-0.14648448
1545133011172567333,,41,,1545133010,745890484,"""imu_link""",,1.68304564,0.671997552,-0.148925888
1545133011172594189,,42,,1545133010,796619396,"""imu_link""",,1.677552472,0.682983888,-0.14648448
1545133011172613690,,43,,1545133010,848019240,"""imu_link""",,1.677552472,0.680237304,-0.148925888
1545133011182394427,,44,,1545133010,898593396,"""imu_link""",,1.68304564,0.685730472,-0.14648448
1545133011183620698,,45,,1545133010,948912907,"""imu_link""",,1.677552472,0.674744136,-0.148925888
1545133011183631492,,46,,1545133010,997291413,"""imu_link""",,1.677552472,0.674744136,-0.148925888
1545133011183685116,,47,,1545133011,49010360,"""imu_link""",,1.685487048,0.671997552,-0.14648448
1545133011183849042,,48,,1545133011,101590032,"""imu_link""",,1.68304564,0.671997552,-0.14648448
1545133011183892695,,49,,1545133011,150973517,"""imu_link""",,1.68304564,0.680237304,-0.143737896
1545133011198637596,,50,,1545133011,198187844,"""imu_link""",,1.68304564,0.680237304,-0.14648448
1545133011250273855,,51,,1545133011,250000719,"""imu_link""",,1.688233632,0.67749072,-0.14648448
1545133011301018751,,52,,1545133011,300631053,"""imu_link""",,1.680299056,0.66680956,-0.148925888
1545133011352393570,,53,,1545133011,351780157,"""imu_link""",,1.68304564,0.671997552,-0.148925888
1545133011403390873,,54,,1545133011,402743357,"""imu_link""",,1.677552472,0.67749072,-0.14648448
1545133011453291601,,55,,1545133011,452628981,"""imu_link""",,1.68304564,0.674744136,-0.14648448
1545133011501790672,,56,,1545133011,501304414,"""imu_link""",,1.680299056,0.67749072,-0.148925888
1545133011552839408,,57,,1545133011,552429208,"""imu_link""",,1.680299056,0.682983888,-0.148925888
1545133011605272406,,58,,1545133011,604739722,"""imu_link""",,1.68304564,0.680237304,-0.143737896
1545133011657210566,,59,,1545133011,656430641,"""imu_link""",,1.68304564,0.67749072,-0.143737896
1545133011704387837,,60,,1545133011,703980615,"""imu_link""",,1.688233632,0.674744136,-0.143737896
1545133011755560329,,61,,1545133011,754988966,"""imu_link""",,1.68304564,0.682983888,-0.14648448
1545133011805596029,,62,,1545133011,804808256,"""imu_link""",,1.677552472,0.680237304,-0.14648448
1545133011857975767,,63,,1545133011,857193868,"""imu_link""",,1.680299056,0.682983888,-0.143737896
