rosbagTimestamp,data
1545135565507055541,20.846408844
1545135565507206194,20.899980545
1545135565507271167,20.899980545
1545135565507322344,20.8678379059
1545135565507543188,20.8856945038
1545135565507623647,20.9142665863
1545135565507974340,20.8714084625
1545135565508518216,20.9035511017
1545135565508729721,20.8606948853
1545135565508915386,20.8964080811
1545135565509321234,20.8678379059
1545135565509570265,20.8606948853
1545135565509634770,20.9142665863
1545135565509996175,20.8678379059
1545135565510291928,20.8856945038
1545135565510367432,20.8678379059
1545135565510478629,20.8535518646
1545135565510566646,20.846408844
1545135565510612587,20.8749809265
1545135565510788932,20.8749809265
1545135565510843734,20.8749809265
1545135565510935212,20.8928375244
1545135565510960206,20.8642654419
1545135565511005682,20.8856945038
1545135565511418653,20.8749809265
1545135565511558845,20.8749809265
1545135565511668484,20.9071235657
1545135565511735589,20.8928375244
1545135565511841524,20.8749809265
1545135565511893681,20.8821239471
1545135565511992233,20.8892669678
1545135565512056725,20.8785514832
1545135565512179185,20.8606948853
1545135565512228393,20.8714084625
1545135565512368550,20.8785514832
1545135565512435035,20.8856945038
1545135565512532813,20.8714084625
1545135565512621755,20.8856945038
1545135565512736914,20.9035511017
1545135565512848959,20.8714084625
1545135565512932544,20.8714084625
1545135565513035448,20.8749809265
1545135565513115567,20.8821239471
1545135565513187350,20.8821239471
1545135565513264255,20.8964080811
1545135565513366298,20.8785514832
1545135565513449433,20.8821239471
1545135565513619561,20.9071235657
1545135565513765989,20.8821239471
1545135565513860889,20.8856945038
1545135565514034732,20.8892669678
1545135565514185199,20.8856945038
1545135565514308959,20.9071235657
1545135565514403900,20.9035511017
1545135565514470002,20.8606948853
1545135565514585895,20.8964080811
1545135565514619395,20.9071235657
1545135565514676892,20.8678379059
1545135565514722184,20.8928375244
1545135565514764035,20.8714084625
1545135565516042150,20.9106941223
1545135565533568396,20.8856945038
1545135565581314373,20.8821239471
1545135565631681948,20.8964080811
1545135565680865575,20.8714084625
1545135565733257813,20.9035511017
1545135565781194633,20.8892669678
1545135565834862790,20.8606948853
1545135565885325500,20.8892669678
1545135565934759657,20.8749809265
1545135565985275999,20.8571224213
1545135566036244940,20.8785514832
1545135566085462195,20.8964080811
1545135566138260886,20.8785514832
1545135566185955540,20.8499794006
1545135566238400387,20.8642654419
1545135566290454030,20.9106941223
1545135566337358554,20.9035511017
1545135566387189393,20.9071235657
1545135566439588677,20.8678379059
1545135566491873932,20.9035511017
1545135566540417695,20.899980545
1545135566590783685,20.8785514832
1545135566639615645,20.8964080811
1545135566690993361,20.8571224213
1545135566741078244,20.8785514832
1545135566793208139,20.8856945038
1545135566842334833,20.8964080811
1545135566891089491,20.8892669678
1545135566943859849,20.8928375244
1545135566992795486,20.8892669678
1545135567046345668,20.8642654419
1545135567096865813,20.8535518646
1545135567144605504,20.8785514832
1545135567194345429,20.8785514832
1545135567247310309,20.8678379059
1545135567296525409,20.8678379059
1545135567348190901,20.9035511017
1545135567397318996,20.8535518646
1545135567448448244,20.9106941223
1545135567498906328,20.8892669678
1545135567550173531,20.8749809265
1545135567600308534,20.8856945038
1545135567650463438,20.8535518646
1545135567699483684,20.8678379059
1545135567750168308,20.8714084625
1545135567801469265,20.8714084625
1545135567852702549,20.8749809265
1545135567899974581,20.8892669678
1545135567952179224,20.9035511017
1545135568003274414,20.8856945038
1545135568053937841,20.8785514832
1545135568102271427,20.8785514832
1545135568155119782,20.8714084625
1545135568203869224,20.8785514832
1545135568255244078,20.8856945038
1545135568307193525,20.8856945038
1545135568356401032,20.8785514832
1545135568405980204,20.8928375244
1545135568456809472,20.8856945038
1545135568506951450,20.8928375244
1545135568559335878,20.8964080811
1545135568610937938,20.8714084625
1545135568657738743,20.8785514832
1545135568707547541,20.8821239471
1545135568759009083,20.9035511017
1545135568809774822,20.8856945038
1545135568860771104,20.8678379059
1545135568910833446,20.9106941223
1545135568960783142,20.9106941223
1545135569010508131,20.8892669678
1545135569061074815,20.8856945038
1545135569114606306,20.8785514832
1545135569164964950,20.8749809265
1545135569213200759,20.8928375244
1545135569261948255,20.8785514832
1545135569314238775,20.8714084625
1545135569365817098,20.8964080811
1545135569414676938,20.8785514832
1545135569465715250,20.8892669678
1545135569516453296,20.899980545
1545135569567482221,20.8499794006
1545135569616342916,20.8821239471
1545135569669940910,20.9142665863
1545135569717667918,20.9142665863
1545135569766869291,20.8535518646
1545135569819269862,20.8821239471
1545135569869252508,20.8642654419
1545135569918117272,20.8856945038
1545135569968827168,20.8892669678
1545135570019451166,20.8856945038
1545135570068743700,20.899980545
1545135570121901419,20.8642654419
1545135570175113329,20.8821239471
1545135570220353769,20.8642654419
1545135570272516883,20.8749809265
1545135570322379850,20.9249801636
1545135570373753654,20.8892669678
1545135570424363955,20.899980545
1545135570475291344,20.8678379059
1545135570525548884,20.8606948853
1545135570574768002,20.8535518646
1545135570625705596,20.8856945038
1545135570676064679,20.8642654419
1545135570726166383,20.8678379059
1545135570775424933,20.8785514832
1545135570827559578,20.8535518646
1545135570879041459,20.8571224213
1545135570927842243,20.8535518646
1545135570977549336,20.8571224213
1545135571028062362,20.846408844
1545135571080191738,20.8749809265
1545135571131635287,20.8392658234
1545135571178643761,20.8571224213
1545135571230463051,20.8571224213
1545135571281625135,20.8714084625
1545135571332177763,20.8499794006
1545135571384899655,20.8321228027
1545135571433889239,20.8535518646
1545135571485142945,20.899980545
1545135571533212549,20.8928375244
1545135571583182575,20.8606948853
1545135571635117288,20.8678379059
1545135571685881420,20.8856945038
1545135571734523159,20.8606948853
1545135571786311035,20.8678379059
1545135571834828729,20.846408844
1545135571887148188,20.8606948853
1545135571939634857,20.8428382874
1545135571987003090,20.8392658234
1545135572037555652,20.8785514832
1545135572087942357,20.8392658234
1545135572140346484,20.8321228027
1545135572190451296,20.8214092255
1545135572240902287,20.8606948853
1545135572290735586,20.8571224213
1545135572341025465,20.8392658234
1545135572390150882,20.8571224213
1545135572441719638,20.8821239471
1545135572490627806,20.8178367615
1545135572541258277,20.8285522461
1545135572592449975,20.8785514832
1545135572642695630,20.846408844
1545135572693031340,20.8785514832
1545135572744989961,20.8642654419
1545135572795326813,20.8928375244
1545135572845212572,20.8499794006
1545135572894400753,20.8749809265
1545135572947608823,20.8678379059
1545135572996111687,20.8892669678
1545135573046555908,20.8392658234
1545135573095762363,20.8571224213
1545135573147265957,20.8571224213
1545135573199096562,20.8356952667
1545135573249964975,20.8606948853
1545135573299388456,20.846408844
1545135573350247244,20.8499794006
1545135573399706398,20.8749809265
1545135573450845902,20.8678379059
1545135573501343044,20.8142662048
1545135573550941862,20.8642654419
1545135573602638241,20.8285522461
1545135573651472341,20.8714084625
1545135573701073909,20.8356952667
1545135573754088731,20.8785514832
1545135573805092362,20.8678379059
1545135573852810381,20.8392658234
1545135573903828532,20.8321228027
1545135573954752442,20.8642654419
1545135574005494226,20.8392658234
1545135574056505091,20.8892669678
1545135574106283099,20.8678379059
1545135574156213684,20.8392658234
1545135574208627759,20.8321228027
1545135574257665333,20.8499794006
1545135574310801483,20.8392658234
1545135574357550739,20.8571224213
1545135574407296950,20.8571224213
1545135574460881399,20.8606948853
1545135574509882550,20.8321228027
1545135574560394719,20.8964080811
1545135574609114675,20.8428382874
1545135574661284332,20.8428382874
1545135574710034021,20.8535518646
1545135574763560987,20.8392658234
1545135574812058500,20.8392658234
1545135574865527893,20.8392658234
1545135574911103850,20.8499794006
1545135574963659390,20.8249797821
1545135575013001808,20.8392658234
1545135575066102819,20.8535518646
1545135575114610908,20.8285522461
1545135575166278441,20.8249797821
1545135575216421960,20.8356952667
1545135575265339263,20.8214092255
1545135575315813383,20.8285522461
1545135575366806184,20.8356952667
1545135575416883540,20.8106937408
1545135575466951395,20.8499794006
1545135575516972261,20.8356952667
1545135575569645637,20.8714084625
1545135575620931385,20.8356952667
1545135575669919208,20.8285522461
1545135575720039478,20.8428382874
1545135575770419289,20.8214092255
1545135575820776404,20.7892665863
1545135575872339044,20.8142662048
1545135575921857097,20.8142662048
1545135575971121898,20.7928371429
1545135576023278441,20.7821235657
1545135576074153250,20.8071231842
1545135576124770045,20.8178367615
1545135576174694469,20.8321228027
