rosbagTimestamp,address,x_m,y_m,z_m
1545149551931757925,4,0.0,0.0,0.0
1545149551931907986,9,1.359,0.0,0.0
1545149551931918181,6,-0.014,-1.186,0.0
1545149562213885196,4,0.0,0.0,0.0
1545149562213906123,9,1.359,0.0,0.0
1545149562213921398,6,-0.014,-1.186,0.0
1545149572491599274,4,0.0,0.0,0.0
1545149572491716185,9,1.359,0.0,0.0
1545149572492053161,6,-0.014,-1.186,0.0
1545149582771414593,4,0.0,0.0,0.0
1545149582771843262,9,1.359,0.0,0.0
1545149582771953485,6,-0.014,-1.186,0.0
1545149593049859274,4,0.0,0.0,0.0
1545149593050187590,9,1.359,0.0,0.0
1545149593050253024,6,-0.014,-1.186,0.0
1545149603329420220,4,0.0,0.0,0.0
1545149603329647190,9,1.359,0.0,0.0
1545149603329670759,6,-0.014,-1.186,0.0
1545149613607846208,4,0.0,0.0,0.0
1545149613608043273,9,1.359,0.0,0.0
1545149613608059742,6,-0.014,-1.186,0.0
1545149623887013644,4,0.0,0.0,0.0
1545149623887115431,9,1.359,0.0,0.0
1545149623887216845,6,-0.014,-1.186,0.0
1545149634167532769,4,0.0,0.0,0.0
1545149634167553860,9,1.359,0.0,0.0
1545149634167571656,6,-0.014,-1.186,0.0
1545149644449629633,4,0.0,0.0,0.0
1545149644449726127,9,1.359,0.0,0.0
1545149644449744318,6,-0.014,-1.186,0.0
1545149654731231494,4,0.0,0.0,0.0
1545149654731257703,9,1.359,0.0,0.0
1545149654731279536,6,-0.014,-1.186,0.0
