rosbagTimestamp,data
1545139157255379332,22.7178382874
1545139157255503061,22.6928386688
1545139157255561386,22.724981308
1545139157255857871,22.7178382874
1545139157255913173,22.6964092255
1545139157255959628,22.7321243286
1545139157256097754,22.7035522461
1545139157256168588,22.721408844
1545139157256308496,22.7178382874
1545139157256390822,22.7392673492
1545139157256465955,22.7178382874
1545139157256520313,22.7071247101
1545139157256588143,22.6999816895
1545139157256614668,22.7142677307
1545139157256679577,22.6928386688
1545139157256709259,22.721408844
1545139157256991005,22.7071247101
1545139157257008140,22.7285518646
1545139157257030033,22.7464103699
1545139157257047884,22.7285518646
1545139157257062006,22.7285518646
1545139157257079199,22.721408844
1545139157257106728,22.7285518646
1545139157257124023,22.6964092255
1545139157257138301,22.7142677307
1545139157257154030,22.7071247101
1545139157257168173,22.6964092255
1545139157257297851,22.7178382874
1545139157257532623,22.7142677307
1545139157257557033,22.7392673492
1545139157257580957,22.7035522461
1545139157257601010,22.6714096069
1545139157257616624,22.6999816895
1545139157257631430,22.7071247101
1545139157257655427,22.7142677307
1545139157257678027,22.7071247101
1545139157257694958,22.7071247101
1545139157257710434,22.6928386688
1545139157257733854,22.721408844
1545139157257748726,22.721408844
1545139157257764428,22.6999816895
1545139157257778557,22.6964092255
1545139157257806956,22.7106952667
1545139157257828019,22.7035522461
1545139157257844929,22.7142677307
1545139157257859292,22.6892662048
1545139157257882561,22.6928386688
1545139157257899001,22.6999816895
1545139157257921207,22.6856956482
1545139157257939155,22.6821231842
1545139157257956846,22.7428379059
1545139157257969831,22.7178382874
1545139157257998968,22.724981308
1545139157258033982,22.6999816895
1545139157258118056,22.7285518646
1545139157258164640,22.7106952667
1545139157258205140,22.7071247101
1545139157258226039,22.6999816895
1545139157267790736,22.6856956482
1545139157268402523,22.7285518646
1545139157268710712,22.6785526276
1545139157270363042,22.7071247101
1545139157270387584,22.6964092255
1545139157270406132,22.6928386688
1545139157270430435,22.7106952667
1545139157270449283,22.6892662048
1545139157270469255,22.721408844
1545139157270490838,22.7106952667
1545139157270513203,22.7142677307
1545139157270531633,22.6606960297
1545139157270551207,22.7071247101
1545139157270567454,22.7142677307
1545139157270590516,22.7106952667
1545139157270605384,22.7035522461
1545139157270621544,22.6714096069
1545139157270643176,22.7142677307
1545139157270657725,22.724981308
1545139157270677145,22.7071247101
1545139157270707181,22.7035522461
1545139157270735590,22.6749801636
1545139157270760813,22.6892662048
1545139157270786452,22.6999816895
1545139157270800897,22.7321243286
1545139157274695356,22.6964092255
1545139157274720627,22.6999816895
1545139157274826361,22.7142677307
1545139157274861531,22.7142677307
1545139157274881478,22.7571239471
1545139157274898549,22.7428379059
1545139157274916306,22.7106952667
1545139157274933420,22.7356948853
1545139157274963035,22.7178382874
1545139157275008046,22.7142677307
1545139157275028088,22.724981308
