rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vector,x,y,z
1545139157256685217,,2503,,1545139152,260698756,"""imu_link""",,-0.165669500977,-0.374098606951,0.68492066839
1545139157256711131,,2504,,1545139152,310288205,"""imu_link""",,-0.166436489407,-0.372948124305,0.688563863434
1545139157256996338,,2505,,1545139152,359687174,"""imu_link""",,-0.167586972053,-0.373139871413,0.692015311371
1545139157257016071,,2506,,1545139152,410517028,"""imu_link""",,-0.168929201806,-0.373139871413,0.695466759308
1545139157257040387,,2507,,1545139152,461230004,"""imu_link""",,-0.169696190236,-0.37256463009,0.698918207245
1545139157257066217,,2508,,1545139152,513464220,"""imu_link""",,-0.170271431559,-0.371414147444,0.70256140229
1545139157257084221,,2509,,1545139152,561938706,"""imu_link""",,-0.171421914205,-0.371414147444,0.706012850227
1545139157257326576,,2510,,1545139152,611120972,"""imu_link""",,-0.172572396851,-0.371605894552,0.709464298164
1545139157257522162,,2511,,1545139152,661890264,"""imu_link""",,-0.173531132389,-0.370838906121,0.712915746101
1545139157257542332,,2512,,1545139152,713323799,"""imu_link""",,-0.174106373712,-0.369688423476,0.716750688253
1545139157257564131,,2513,,1545139152,766159190,"""imu_link""",,-0.175256856357,-0.369688423476,0.72020213619
1545139157257605277,,2514,,1545139152,816727070,"""imu_link""",,-0.176407339003,-0.369688423476,0.723845331235
1545139157257624912,,2515,,1545139152,862427895,"""imu_link""",,-0.176982580326,-0.368729687938,0.727296779172
1545139157257663472,,2516,,1545139152,914493768,"""imu_link""",,-0.178324810079,-0.368729687938,0.730939974216
1545139157257701451,,2517,,1545139152,967403812,"""imu_link""",,-0.179283545617,-0.367962699507,0.734583169261
1545139157257725524,,2518,,1545139153,16295019,"""imu_link""",,-0.180434028263,-0.368154446615,0.738034617198
1545139157257751511,,2519,,1545139153,65017814,"""imu_link""",,-0.181009269586,-0.367003963969,0.741677812243
1545139157257775837,,2520,,1545139153,115319029,"""imu_link""",,-0.182159752231,-0.367003963969,0.745321007287
1545139157257810706,,2521,,1545139153,168206908,"""imu_link""",,-0.183310234877,-0.367195711077,0.748964202332
1545139157257836265,,2522,,1545139153,218991147,"""imu_link""",,-0.184268970415,-0.366620469754,0.752415650269
1545139157257853991,,2523,,1545139153,267911817,"""imu_link""",,-0.184844211738,-0.365278240001,0.756250592421
1545139157257875452,,2524,,1545139153,320777516,"""imu_link""",,-0.185994694383,-0.365469987108,0.759702040358
1545139157257898974,,2525,,1545139153,370531942,"""imu_link""",,-0.187145177029,-0.365469987108,0.763345235403
1545139157257925492,,2526,,1545139153,417709017,"""imu_link""",,-0.188295659675,-0.365469987108,0.76679668334
1545139157257951530,,2527,,1545139153,471186807,"""imu_link""",,-0.18867915389,-0.363552516032,0.770631625492
1545139157257982255,,2528,,1545139153,522404947,"""imu_link""",,-0.189637889428,-0.36374426314,0.774083073429
1545139157258035785,,2529,,1545139153,570457437,"""imu_link""",,-0.190788372074,-0.36374426314,0.777726268474
1545139157258126889,,2530,,1545139153,620948755,"""imu_link""",,-0.191555360504,-0.362593780494,0.781561210626
1545139157258172848,,2531,,1545139153,670007461,"""imu_link""",,-0.19270584315,-0.362593780494,0.785204405671
1545139157258220045,,2532,,1545139153,723470296,"""imu_link""",,-0.193664578688,-0.362018539171,0.788655853608
1545139157258252932,,2533,,1545139153,774168150,"""imu_link""",,-0.194815061334,-0.361826792064,0.792299048652
1545139157258283088,,2534,,1545139153,822500642,"""imu_link""",,-0.195390302656,-0.360676309418,0.796133990804
1545139157258315887,,2535,,1545139153,874993317,"""imu_link""",,-0.196540785302,-0.36048456231,0.799777185849
1545139157258353193,,2536,,1545139153,923722037,"""imu_link""",,-0.197691267948,-0.36048456231,0.803420380894
