rosbagTimestamp,address,x_m,y_m,z_m
1545139160924470030,4,0.0,0.0,0.0
1545139160924494967,9,1.359,0.0,0.0
1545139160924512633,6,-0.014,-1.186,0.0
1545139171210763316,4,0.0,0.0,0.0
1545139171210898469,9,1.359,0.0,0.0
1545139171210921943,6,-0.014,-1.186,0.0
1545139181497829030,4,0.0,0.0,0.0
1545139181498085760,9,1.359,0.0,0.0
1545139181498208739,6,-0.014,-1.186,0.0
1545139191783235485,4,0.0,0.0,0.0
1545139191783414737,9,1.359,0.0,0.0
1545139191783435950,6,-0.014,-1.186,0.0
1545139202068816046,4,0.0,0.0,0.0
1545139202069097348,9,1.359,0.0,0.0
1545139202069219783,6,-0.014,-1.186,0.0
1545139212354899291,4,0.0,0.0,0.0
1545139212355222029,9,1.359,0.0,0.0
1545139212355239061,6,-0.014,-1.186,0.0
1545139222641073320,4,0.0,0.0,0.0
1545139222641243920,9,1.359,0.0,0.0
1545139222641256408,6,-0.014,-1.186,0.0
1545139232926936475,4,0.0,0.0,0.0
1545139232927018097,9,1.359,0.0,0.0
1545139232927155053,6,-0.014,-1.186,0.0
1545139243212342679,4,0.0,0.0,0.0
1545139243212461390,9,1.359,0.0,0.0
1545139243212474977,6,-0.014,-1.186,0.0
1545139253500526464,4,0.0,0.0,0.0
1545139253500558023,9,1.359,0.0,0.0
1545139253500578799,6,-0.014,-1.186,0.0
1545139263784183007,4,0.0,0.0,0.0
1545139263784367366,9,1.359,0.0,0.0
1545139263784499687,6,-0.014,-1.186,0.0
1545139274071385364,4,0.0,0.0,0.0
1545139274071714423,9,1.359,0.0,0.0
1545139274071801129,6,-0.014,-1.186,0.0
1545139284354387046,4,0.0,0.0,0.0
1545139284354422855,9,1.359,0.0,0.0
1545139284354431114,6,-0.014,-1.186,0.0
1545139294640326669,4,0.0,0.0,0.0
1545139294640344226,9,1.359,0.0,0.0
1545139294640431077,6,-0.014,-1.186,0.0
