rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,transform,translation,x,y,z,rotation,x,y,z,w
1545136351463076827,,782763,,1545136350,436449221,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229036703548,1.08942173274,0.777181002871,,-0.0715543619967,-0.0796590351393,0.973599335996,-0.201590536356
1545136351463102001,,782764,,1545136350,446487493,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229027215294,1.08941295938,0.777189989794,,-0.0715865883232,-0.0796293792798,0.973610926678,-0.201534825233
1545136351463156821,,782765,,1545136350,456386140,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229022274437,1.08942446354,0.777170475705,,-0.0715575247305,-0.0795770447123,0.973611696619,-0.201562096675
1545136351463226845,,782766,,1545136350,466519081,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.22902528653,1.08942608309,0.77715930318,,-0.0716834295366,-0.0796683418383,0.973616917762,-0.201456046538
1545136351463296767,,782767,,1545136350,476292992,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229028602078,1.08944182549,0.777141979952,,-0.0717603341994,-0.0796522401472,0.973628251826,-0.201380243123
1545136351463321489,,782768,,1545136350,486330401,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229041346113,1.08943592332,0.777138799826,,-0.0717324272258,-0.0796891361196,0.973653503732,-0.201253459945
1545136351463408313,,782769,,1545136350,496387299,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229040749808,1.08942879987,0.77714398881,,-0.071747855399,-0.0796754937624,0.97362308547,-0.201400467676
1545136351463434618,,782770,,1545136350,506400960,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229036562079,1.08940771245,0.777169402707,,-0.0717713285716,-0.0797244723831,0.973611659911,-0.201427953831
1545136351463458439,,782771,,1545136350,516399583,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229040981324,1.08940571403,0.777182804812,,-0.0714822300913,-0.0798628722367,0.97362026742,-0.201434325002
1545136351463495247,,782772,,1545136350,526403425,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229039140515,1.08940558697,0.777195784078,,-0.0714407519881,-0.0798161339349,0.973613142536,-0.20150199106
1545136351463546553,,782773,,1545136350,536405535,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229049278316,1.08941825174,0.777180461464,,-0.0716094568901,-0.0799701495249,0.973611799734,-0.201387497843
1545136351463584780,,782774,,1545136350,546440061,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229054327961,1.08943206058,0.777172175403,,-0.0715971359614,-0.0798447506475,0.973616759639,-0.201417653811
1545136351463602200,,782775,,1545136350,556398472,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229062699118,1.08944745222,0.777158372504,,-0.0716491309329,-0.0800012271659,0.97363824135,-0.201233150025
1545136351463641467,,782776,,1545136350,566399834,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229064881332,1.08945990968,0.777147547122,,-0.0716611551102,-0.080029608597,0.973662434607,-0.201100482423
1545136351463699512,,782777,,1545136350,576352834,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229053522955,1.0894597211,0.777147880193,,-0.0716479758682,-0.0798343642119,0.973669065153,-0.201150673401
1545136351463730041,,782778,,1545136350,586396984,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229047621267,1.08944525592,0.777161129626,,-0.0716540315262,-0.0799262740013,0.973662317521,-0.201144679097
1545136351463796174,,782779,,1545136350,597066054,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229032002796,1.08942804715,0.777186496016,,-0.0717679347734,-0.0798398867525,0.973640250956,-0.201245168242
1545136351463828997,,782780,,1545136350,606388364,"""/world""","""vicon/obstacle0/obstacle0""",,,-0.229025400649,1.08941523805,0.777197027238,,-0.0716848174201,-0.0799514289766,0.973668753268,-0.201092552982
