timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2480611678,0.0013045343,-0.021663222,-0.04033919,-0.9990255,0.03586029,0.01119066,-0.023168217,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480643516,0.019009562,0.039618686,-0.004012168,-0.9990405,0.035692073,0.0112975165,-0.022731919,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480675588,0.011732708,-0.07169188,0.029422611,-0.9990306,0.035752337,0.01133844,-0.02304537,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480707588,0.042565554,0.031017516,-0.007880054,-0.999027,0.03569421,0.011241511,-0.023336297,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480739517,0.040467944,-0.033329017,-0.015151435,-0.9990288,0.035772033,0.011283018,-0.02311922,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480771505,0.017826157,-0.010610921,0.003987173,-0.9990293,0.03586913,0.011280363,-0.022950457,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480804409,0.04690247,-0.041919697,0.024914606,-0.99903214,0.035586797,0.011403048,-0.023199972,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480836330,0.0336367,-0.039361224,-0.016095472,-0.9990286,0.03574235,0.011394462,-0.023123205,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480868320,0.015131643,-0.054569516,0.012543469,-0.9990357,0.03563096,0.011377202,-0.02299126,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480900383,-0.0043538907,-0.0136398785,0.019550698,-0.99902135,0.035947844,0.011181853,-0.02322123,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480932325,-0.00986914,-0.009285911,0.0029504928,-0.9990135,0.036172014,0.010812971,-0.02338514,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480964308,0.009733511,-0.07686265,-0.012312558,-0.9990159,0.036118925,0.01106937,-0.023239644,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2480996417,-0.0101485625,0.03663464,-0.0012063377,-0.9990235,0.036099184,0.01077122,-0.023089102,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481028322,0.0018586263,-0.023899786,0.017883679,-0.99901307,0.03621704,0.010941758,-0.023272917,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481056490,0.019425958,0.027787684,0.0010862797,-0.9990171,0.03600694,0.011047057,-0.023375897,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481088326,0.009382378,-0.0575829,-0.019801952,-0.9990358,0.035548385,0.011461432,-0.023078412,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481120367,0.014990581,0.089508876,0.03334845,-0.9990319,0.03573154,0.0111521,-0.02311358,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481152408,-0.012490356,-0.10216029,0.015734583,-0.9990252,0.03551056,0.0115867825,-0.023525925,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481185112,-0.045671213,-0.007400158,-0.03290922,-0.9990337,0.03556489,0.011456272,-0.023142457,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481217113,-0.04042825,-0.079419434,0.0088660605,-0.9990344,0.035692457,0.011442026,-0.022921968,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481245108,0.0033183426,0.08124731,0.025468798,-0.99903023,0.03563618,0.01127611,-0.023271957,0.9990336,0.009998334,-0.0019716693,0.04275601,7
2481277116,0.05465754,-0.007290255,-0.0030391787,-0.9990276,0.03570349,0.0110914605,-0.02336703,0.9990336,0.009998334,-0.0019716693,0.04275601,7
