timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2482090030,-60.519688,31.859999,102054.0,1.2125703
2482101082,-60.1022,31.859999,102049.0,1.212511
2482121983,-60.68351,31.859999,102056.0,1.2125942
2482132030,-60.266026,31.859999,102050.99,1.2125345
2482142335,-60.266026,31.859999,102050.99,1.2125345
2482164342,-60.35058,31.859999,102051.99,1.2125465
2482175524,-60.35058,31.859999,102051.99,1.2125465
2482186315,-60.519688,31.859999,102054.0,1.2125703
2482208359,-60.35058,31.869999,102051.99,1.2125465
2482218082,-60.768066,31.869999,102057.0,1.212606
2482229293,-60.847336,31.869999,102057.99,1.2126178
2482251421,-60.519688,31.859999,102054.0,1.2125703
2482261029,-60.598957,31.859999,102055.0,1.2125822
2482271931,-60.35058,31.859999,102051.99,1.2125465
2482293395,-60.186756,31.859999,102050.0,1.2125229
2482303665,-59.77455,31.859999,102044.99,1.2124633
2482312994,-59.85382,31.859999,102046.0,1.2124753
2482334037,-60.186756,31.859999,102050.0,1.2125229
2482344100,-59.938377,31.859999,102047.0,1.2124872
2482353994,-59.85382,31.859999,102046.0,1.2124753
2482376081,-60.1022,31.869999,102049.0,1.212511
2482386031,-60.768066,31.869999,102057.0,1.212606
2482396984,-59.938377,31.869999,102047.0,1.2124872
2482418984,-60.017647,31.869999,102048.0,1.212499
2482429718,-60.266026,31.869999,102050.99,1.2125345
2482440092,-60.1022,31.869999,102049.0,1.212511
2482461983,-60.68351,31.869999,102056.0,1.2125942
2482473394,-60.598957,31.869999,102055.0,1.2125822
2482484324,-60.017647,31.869999,102048.0,1.212499
2482505994,-59.526176,31.869999,102042.0,1.2124277
2482517298,-60.1022,31.869999,102049.0,1.212511
2482528086,-59.77455,31.869999,102044.99,1.2124633
2482551410,-60.35058,31.859999,102051.99,1.2125465
2482562394,-59.938377,31.859999,102047.0,1.2124872
2482572606,-60.1022,31.859999,102049.0,1.212511
2482593984,-60.43513,31.869999,102053.0,1.2125585
2482604983,-60.266026,31.869999,102050.99,1.2125345
2482616043,-59.938377,31.869999,102047.0,1.2124872
2482638029,-60.35058,31.869999,102051.99,1.2125465
2482648984,-59.938377,31.869999,102047.0,1.2124872
2482660474,-60.35058,31.869999,102051.99,1.2125465
2482681983,-60.598957,31.859999,102055.0,1.2125822
2482693070,-60.017647,31.859999,102048.0,1.212499
2482703105,-60.519688,31.859999,102054.0,1.2125703
2482724319,-60.186756,31.859999,102050.0,1.2125229
2482735109,-60.186756,31.859999,102050.0,1.2125229
2482745993,-60.35058,31.859999,102051.99,1.2125465
2482768550,-60.266026,31.859999,102050.99,1.2125345
2482779156,-59.85382,31.859999,102046.0,1.2124753
2482789954,-60.017647,31.859999,102048.0,1.212499
2482811295,-60.186756,31.869999,102050.0,1.2125229
2482821338,-60.186756,31.869999,102050.0,1.2125229
2482832503,-59.85382,31.869999,102046.0,1.2124753
2482853984,-60.017647,31.869999,102048.0,1.212499
2482864984,-59.85382,31.869999,102046.0,1.2124753
2482877317,-60.266026,31.869999,102050.99,1.2125345
2482899099,-59.77455,31.859999,102044.99,1.2124633
2482909140,-59.77455,31.859999,102044.99,1.2124633
2482918984,-59.69,31.859999,102044.0,1.2124516
2482941396,-59.526176,31.859999,102042.0,1.2124277
2482952494,-59.77455,31.859999,102044.99,1.2124633
2482961984,-59.69,31.859999,102044.0,1.2124516
2482984535,-59.526176,31.869999,102042.0,1.2124277
2482995361,-59.277798,31.869999,102038.99,1.212392
2483005995,-59.85382,31.869999,102046.0,1.2124753
2483030093,-59.605446,31.869999,102043.0,1.2124397
2483040996,-59.19324,31.869999,102038.0,1.2123803
2483051204,-59.10869,31.869999,102037.0,1.2123684
2483072587,-59.605446,31.869999,102043.0,1.2124397
2483083304,-59.526176,31.869999,102042.0,1.2124277
2483093325,-59.526176,31.869999,102042.0,1.2124277
2483115104,-59.44162,31.859999,102041.0,1.2124159
2483126150,-59.85382,31.859999,102046.0,1.2124753
2483137302,-59.10869,31.859999,102037.0,1.2123684
2483159106,-59.10869,31.869999,102037.0,1.2123684
2483169987,-59.69,31.869999,102044.0,1.2124516
2483182136,-59.02942,31.869999,102036.0,1.2123564
2483204011,-59.357067,31.869999,102040.0,1.212404
2483215102,-59.10869,31.869999,102037.0,1.2123684
2483225986,-59.02942,31.869999,102036.0,1.2123564
2483246988,-59.02942,31.869999,102036.0,1.2123564
2483258038,-58.86031,31.869999,102034.0,1.2123327
2483268391,-58.86031,31.869999,102034.0,1.2123327
2483290314,-58.775757,31.869999,102032.99,1.2123207
2483300054,-58.775757,31.869999,102032.99,1.2123207
2483309999,-59.02942,31.869999,102036.0,1.2123564
2483330986,-59.19324,31.869999,102038.0,1.2123803
2483342028,-59.44162,31.869999,102041.0,1.2124159
2483353311,-59.10869,31.869999,102037.0,1.2123684
2483374984,-58.944862,31.869999,102035.0,1.2123446
2483386032,-58.696487,31.869999,102032.0,1.212309
2483398335,-59.44162,31.869999,102041.0,1.2124159
2483420014,-58.696487,31.869999,102032.0,1.212309
