timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,system_id,component_id,mode,flow_control,forwarding,mavlink_v2,ftp,streams
2536958119,2535950695,1200.0,0.519658,0.041679855,1.4627645,0.0,1,255,0,0,1,1,1,1,35
2537962198,2536958119,1200.0,0.519658,0.041831333,1.2629079,0.0,1,255,0,0,1,1,1,1,35
2538972163,2537962198,1200.0,0.519658,0.04158358,1.4593856,0.0,1,255,0,0,1,1,1,1,35
2539978188,2538972163,1200.0,0.519658,0.04175058,1.5338367,0.0,1,255,0,0,1,1,1,1,35
2540980184,2539978188,1200.0,0.519658,0.041916754,1.508005,0.0,1,255,0,0,1,1,1,1,35
2541986209,2540980184,1200.0,0.519658,0.041745644,1.2344784,0.0,1,255,0,0,1,1,1,1,35
2542995220,2541986209,1200.0,0.519658,0.041630898,1.5264663,0.0,1,255,0,0,1,1,1,1,35
2544003704,2542995220,1200.0,0.519658,0.067418315,1.4534595,0.0,1,255,0,0,1,1,1,1,35
2545007795,2544003704,1200.0,0.519658,0.041828834,1.6582146,0.0,1,255,0,0,1,1,1,1,35
2546010105,2545007795,1200.0,0.519658,0.041903496,1.3389164,0.0,1,255,0,0,1,1,1,1,35
2547010324,2546010105,1200.0,0.519658,0.041997477,1.4199147,0.0,1,255,0,0,1,1,1,1,35
2548018157,2547010324,1200.0,0.519658,0.041666955,1.4781848,0.0,1,255,0,0,1,1,1,1,35
2549025227,2548018157,1200.0,0.519658,0.041704893,1.4239242,0.0,1,255,0,0,1,1,1,1,35
2550030104,2549025227,1200.0,0.519658,0.04179645,1.5643814,0.0,1,255,0,0,1,1,1,1,35
2551040742,2550030104,1200.0,0.519658,0.041560907,1.504109,0.0,1,255,0,0,1,1,1,1,35
2552046133,2551040742,1200.0,0.519658,0.041773878,1.3775433,0.0,1,255,0,0,1,1,1,1,35
2553056220,2552046133,1200.0,0.519658,0.04157823,1.4294991,0.0,1,255,0,0,1,1,1,1,35
2554060107,2553056220,1200.0,0.519658,0.041837625,1.5778762,0.0,1,255,0,0,1,1,1,1,35
2555065223,2554060107,1200.0,0.519658,0.06765348,1.4087842,0.0,1,255,0,0,1,1,1,1,35
2556071227,2555065223,1200.0,0.519658,0.0417556,1.5002192,0.0,1,255,0,0,1,1,1,1,35
