timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
2480612559,0.0,0.0,0.0,0.047121413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480716425,0.0,0.0,0.0,0.04748342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480813100,0.0,0.0,0.0,0.047236536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480917103,0.0,0.0,0.0,0.047492612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481022331,0.0,0.0,0.0,0.047144312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481125218,0.0,0.0,0.0,0.04711163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481222783,0.0,0.0,0.0,0.046674557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481326056,0.0,0.0,0.0,0.04703036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481429917,0.0,0.0,0.0,0.04673182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481526152,0.0,0.0,0.0,0.046885934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481630702,0.0,0.0,0.0,0.047044747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481734802,0.0,0.0,0.0,0.04752104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481830848,0.0,0.0,0.0,0.047516808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481934705,0.0,0.0,0.0,0.04761375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482039624,0.0,0.0,0.0,0.047595564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482135496,0.0,0.0,0.0,0.04786294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482240352,0.23419367,-0.9551229,0.0,0.04814508,0.0,-0.00019933209,-0.0022158264,-0.07013058,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010079674,-0.0030440104,-0.3915841
2482340590,0.23419367,-0.9551229,0.0,0.048480798,0.0,-0.0019378997,-0.0053240536,-0.82186973,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023558703,-0.004968591,-0.59733164
2482444605,0.23419367,-0.9551229,0.0,0.051748965,0.0,-0.0047083623,-0.009279382,-1.6019814,0.0,0.0,0.0,0.0,0.0,0.0,-0.004457525,-0.009476626,-0.70970523
2482540471,0.23419367,-0.9551229,0.0,0.054634843,0.0,-0.007968272,-0.01658999,-2.3209767,0.0,0.0,0.0,0.0,0.0,0.0,-0.005224982,-0.022678435,-0.74542546
2482644447,0.23419367,-0.9551229,0.0,0.047541544,-0.0,-0.009377994,-0.034117624,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039249104,-0.036886122,-0.74390686
