timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
2485569033,1544809265400357,323875304,-1170764327,20984,-13460,0.30900002,0.05770861,0.83100003,1.3110001,0.53,0.77,93,2,5.058,4.852,1.427,-0.514,0.26919502,0,nan,0.0,4,1,22
2485772015,1544809265600357,323875396,-1170764295,21106,-13338,0.31300002,0.046829276,0.83400005,1.314,0.53,0.77,93,2,5.4540005,5.2530003,1.468,-0.647,0.27130967,0,nan,0.0,4,1,22
2485968996,1544809265800357,323875496,-1170764260,21190,-13254,0.27800003,0.042028397,0.837,1.3160001,0.53,0.77,93,2,6.111,5.8690004,1.705,-0.503,0.278055,0,nan,0.0,4,1,22
2486189023,1544809266000357,323875607,-1170764221,21247,-13197,0.30100003,0.04234535,0.84000003,1.319,0.53,0.77,93,2,6.702,6.4270005,1.899,-0.323,0.2831212,0,nan,0.0,4,1,22
2486370021,1544809266200357,323875724,-1170764178,21314,-13130,0.28300002,0.039490342,0.84300005,1.3240001,0.53,0.77,93,2,6.991,6.6770005,2.0730002,-0.41200003,0.29354534,0,nan,0.0,4,1,22
2486570030,1544809266400357,323875848,-1170764131,21364,-13080,0.289,0.034580205,0.845,1.3260001,0.53,0.77,93,2,7.4540005,7.1140003,2.2250001,-0.312,0.29953983,0,nan,0.0,4,1,22
2486767234,1544809266600356,323875982,-1170764079,21394,-13050,0.27600002,0.03278636,0.84700006,1.3280001,0.53,0.77,93,2,8.064,7.668,2.4950001,-0.24100001,0.3146097,0,nan,0.0,4,1,22
2486966015,1544809266800356,323876124,-1170764023,21415,-13029,0.294,0.031883847,0.84900004,1.33,0.53,0.77,93,2,8.548,8.133,2.6290002,-0.22600001,0.3126448,0,nan,0.0,4,1,22
2487155244,1544809267000356,323876273,-1170763964,21469,-12975,0.305,0.032187186,0.85300004,1.3330001,0.53,0.77,93,2,8.981001,8.502001,2.891,-0.215,0.32774663,0,nan,0.0,4,1,22
2487362049,1544809267200356,323876428,-1170763901,21521,-12922,0.273,0.031921722,0.85600007,1.335,0.53,0.77,93,2,9.349,8.811001,3.1250002,-0.303,0.34085563,0,nan,0.0,4,1,22
2487567239,1544809267400356,323876589,-1170763832,21686,-12758,0.279,0.026673691,0.85800004,1.3360001,0.53,0.77,93,2,9.593,9.034,3.2280002,-1.118,0.34313938,0,nan,0.0,4,1,22
2487756099,1544809267600356,323876753,-1170763761,21937,-12507,0.29900002,0.029005975,0.86,1.3390001,0.53,0.77,93,2,9.712001,9.063001,3.4910002,-1.276,0.36765847,0,nan,0.0,4,1,22
2487976155,1544809267800356,323876915,-1170763685,22163,-12281,0.28500003,0.02873667,0.86300004,1.343,0.53,0.77,93,2,9.6640005,8.962001,3.6160002,-1.065,0.38345736,0,nan,0.0,4,1,22
2488173063,1544809268000356,323877078,-1170763607,22418,-12026,0.29000002,0.026863582,0.86500007,1.3440001,0.53,0.77,93,2,9.856001,9.136001,3.6980002,-1.1320001,0.38460666,0,nan,0.0,4,1,22
2488362048,1544809268200356,323877240,-1170763527,22634,-11810,0.256,0.028675757,0.86700004,1.3460001,0.53,0.77,93,2,9.8220005,9.04,3.8420002,-1.22,0.4018671,0,nan,0.0,4,1,22
2488565819,1544809268400356,323877403,-1170763447,22827,-11617,0.27,0.027687727,0.86800003,1.348,0.53,0.77,93,2,9.867001,9.103001,3.808,-1.136,0.39620647,0,nan,0.0,4,1,22
2488767107,1544809268600356,323877568,-1170763363,23062,-11382,0.30600002,0.028562311,0.87100005,1.3520001,0.53,0.77,93,2,10.052,9.226001,3.9900002,-1.225,0.40820298,0,nan,0.0,4,1,22
2488970021,1544809268800356,323877734,-1170763277,23282,-11162,0.294,0.027373219,0.873,1.3540001,0.53,0.77,93,2,10.1,9.232,4.099,-1.312,0.41784087,0,nan,0.0,4,1,22
2489172052,1544809269000356,323877899,-1170763188,23561,-10883,0.29700002,0.029706724,0.87600005,1.3570001,0.53,0.77,93,2,10.109,9.169001,4.2580004,-1.355,0.4347346,0,nan,0.0,4,1,22
2489368059,1544809269200356,323878065,-1170763099,23799,-10645,0.28300002,0.028496513,0.87900007,1.358,0.53,0.77,93,2,10.193001,9.294001,4.1870003,-1.3260001,0.4232762,0,nan,0.0,4,1,22
2489568183,1544809269400355,323878232,-1170763010,24053,-10391,0.30200002,0.028739462,0.882,1.3620001,0.53,0.77,93,2,10.282001,9.34,4.2990003,-1.386,0.43136543,0,nan,0.0,4,1,22
2489764169,1544809269600355,323878398,-1170762918,24369,-10075,0.28500003,0.027227484,0.88400006,1.3640001,0.53,0.77,93,2,10.129001,9.156,4.3320003,-1.478,0.44190285,0,nan,0.0,4,1,22
2489961362,1544809269800355,323878561,-1170762822,24677,-9766,0.28300002,0.025374992,0.88600004,1.3640001,0.53,0.77,93,2,10.092,8.982,4.602,-1.667,0.4734743,0,nan,0.0,4,1,22
2490169016,1544809270000355,323878718,-1170762718,25003,-9440,0.28800002,0.025768388,0.887,1.366,0.53,0.77,93,2,9.898001,8.565001,4.9620004,-1.432,0.5250554,0,nan,0.0,4,1,22
