timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2480608029,0.3427117,0.03605546,0.37958887
2480629984,0.3412957,0.02993415,0.38397256
2480652905,0.33987966,0.032382675,0.37958887
2480674084,0.3412957,0.033606935,0.37410924
2480694996,0.3469597,0.02993415,0.37849295
2480717000,0.3412957,0.027485626,0.37849295
2480740418,0.34412768,0.031158412,0.37849295
2480761987,0.34412768,0.032382675,0.37958887
2480784112,0.3427117,0.03605546,0.37849295
2480806984,0.3427117,0.032382675,0.37849295
2480830211,0.3412957,0.031158412,0.37630108
2480853314,0.3412957,0.034831196,0.37630108
2480878036,0.34412768,0.03605546,0.37739703
2480901147,0.3427117,0.02993415,0.37849295
2480922986,0.34412768,0.031158412,0.37958887
2480944983,0.3427117,0.032382675,0.37958887
2480966983,0.34412768,0.031158412,0.37739703
2480989253,0.3427117,0.031158412,0.37410924
2481010994,0.33987966,0.031158412,0.37739703
2481033031,0.3412957,0.031158412,0.37958887
2481054984,0.34412768,0.03727972,0.37849295
2481078029,0.3412957,0.032382675,0.37520516
2481101110,0.3427117,0.032382675,0.37739703
2481122994,0.34412768,0.032382675,0.37739703
2481144992,0.3469597,0.031158412,0.37958887
2481166984,0.3455437,0.032382675,0.37739703
2481188005,0.3455437,0.038503982,0.3806848
2481209989,0.3455437,0.031158412,0.37739703
2481230986,0.3469597,0.034831196,0.37739703
2481253983,0.34412768,0.03605546,0.37739703
2481276016,0.3455437,0.034831196,0.37630108
2481297983,0.3427117,0.034831196,0.37520516
2481320005,0.3427117,0.02993415,0.37849295
2481341983,0.34412768,0.033606935,0.37958887
2481364018,0.3412957,0.034831196,0.37520516
2481388086,0.3412957,0.031158412,0.37520516
2481411107,0.3412957,0.032382675,0.37630108
2481433986,0.33987966,0.033606935,0.37739703
2481455994,0.3455437,0.03605546,0.37958887
2481478986,0.34412768,0.032382675,0.37849295
2481502521,0.3427117,0.034831196,0.37301332
2481524089,0.3427117,0.032382675,0.37849295
2481548031,0.3412957,0.031158412,0.37849295
2481572003,0.3427117,0.031158412,0.37630108
2481594161,0.3455437,0.031158412,0.3817807
2481616984,0.34412768,0.028709888,0.37739703
2481640048,0.3412957,0.032382675,0.37739703
2481662854,0.3469597,0.034831196,0.37410924
2481684051,0.3412957,0.031158412,0.37849295
2481706319,0.34412768,0.031158412,0.37630108
2481729033,0.34412768,0.032382675,0.37520516
2481751024,0.3412957,0.028709888,0.37630108
2481773061,0.3412957,0.031158412,0.37739703
2481796007,0.3455437,0.031158412,0.37849295
2481818208,0.3455437,0.032382675,0.37849295
2481841030,0.3427117,0.03605546,0.37958887
2481862984,0.3427117,0.033606935,0.37301332
2481884983,0.3455437,0.033606935,0.37630108
2481908091,0.3427117,0.033606935,0.37520516
2481929052,0.3455437,0.033606935,0.37520516
2481950979,0.3412957,0.031158412,0.37739703
2481972033,0.33846366,0.032382675,0.37630108
2481993986,0.34412768,0.032382675,0.37630108
2482016382,0.34412768,0.03727972,0.37739703
2482037993,0.3427117,0.02993415,0.37630108
2482060092,0.3427117,0.032382675,0.37958887
2482081993,0.3412957,0.02993415,0.37739703
2482104984,0.33987966,0.033606935,0.37630108
2482128097,0.34412768,0.031158412,0.3806848
2482149996,0.34412768,0.032382675,0.37739703
2482172054,0.3455437,0.032382675,0.37630108
2482194037,0.3497917,0.033606935,0.39164403
2482216031,0.3455437,0.02993415,0.39164403
2482237082,0.3427117,0.031158412,0.39712363
2482258983,0.3427117,0.02993415,0.3960277
2482279728,0.34412768,0.032382675,0.39931548
2482300984,0.34412768,0.034831196,0.40150735
2482324394,0.3469597,0.031158412,0.40150735
2482348406,0.33987966,0.038503982,0.4036992
2482369985,0.3455437,0.047073815,0.40589106
2482392084,0.33563167,0.0507466,0.40589106
2482413986,0.33421564,0.06421348,0.40260327
2482436984,0.33704767,0.069110535,0.4036992
2482459108,0.3427117,0.06421348,0.40917882
2482480984,0.3285516,0.06543775,0.40917882
2482503101,0.3271356,0.07278332,0.40589106
2482524984,0.32005554,0.07523184,0.40589106
2482548489,0.32430357,0.07645611,0.4135625
2482570027,0.32996765,0.074007586,0.41137066
2482594015,0.3257196,0.080128886,0.4047951
2482616081,0.3285516,0.06788627,0.41137066
2482638063,0.3271356,0.06543775,0.4124666
2482660506,0.3285516,0.07155906,0.4047951
2482684473,0.3285516,0.06543775,0.40260327
2482707099,0.33704767,0.06543775,0.3960277
2482728986,0.33138365,0.06176496,0.38835627
2482750992,0.33279964,0.058092173,0.38835627
2482773150,0.33421564,0.05564365,0.3894522
2482797115,0.33421564,0.051970866,0.3861644
2482818995,0.33563167,0.051970866,0.38726035
2482843128,0.33279964,0.04952234,0.38835627
2482866994,0.33279964,0.044625293,0.38287663
2482888530,0.33421564,0.038503982,0.38397256
2482910987,0.33138365,0.032382675,0.38726035
2482933642,0.33421564,0.028709888,0.38726035
2482957243,0.32996765,0.018915791,0.38726035
2482981255,0.3271356,0.01157022,0.3894522
2483002984,0.3271356,0.0030003858,0.3894522
2483024984,0.32288757,-0.009242234,0.39273995
2483046984,0.3271356,-0.015363543,0.39164403
2483069221,0.32147157,-0.030054687,0.39273995
2483091213,0.3271356,-0.03495173,0.39383587
2483115136,0.3257196,-0.048418615,0.39383587
2483137334,0.3271356,-0.055764187,0.3960277
2483159137,0.3271356,-0.060661238,0.39273995
2483182168,0.3412957,-0.056988448,0.38287663
2483206092,0.35403973,-0.0520914,0.37739703
2483230864,0.37103185,-0.036175996,0.37301332
2483252022,0.38660792,-0.01903633,0.36315
2483276022,0.4036,-0.004345186,0.35328668
2483297984,0.41492805,0.010345957,0.34013557
2483320090,0.42908812,0.01769153,0.33246413
2483342059,0.42908812,0.02993415,0.3269845
2483364039,0.43333614,0.03605546,0.3215049
2483388011,0.4418322,0.039728247,0.31931302
2483412064,0.43616816,0.04217677,0.31492934
2483436072,0.43758416,0.04829808,0.31712118
2483460034,0.44041622,0.043401033,0.31712118
2483484065,0.4418322,0.045849554,0.31712118
2483508037,0.4446642,0.04952234,0.31602526
2483531101,0.4390002,0.04952234,0.3182171
2483554122,0.44041622,0.04829808,0.31931302
