timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
2479839014,inf,1,0,0,0
2480847020,inf,1,0,0,0
2481847022,inf,1,0,0,0
2482197023,inf,0,0,0,0
2483198037,inf,0,0,0,0
2484211020,inf,0,0,0,0
2485225379,inf,0,0,0,0
2486245020,inf,0,0,0,0
2487262117,inf,0,0,0,0
2488274066,inf,0,0,0,0
2489294121,inf,0,0,0,0
2490307120,inf,0,0,0,0
2491323020,inf,0,0,0,0
2492337020,inf,0,0,0,0
2493345020,inf,0,0,0,0
2494357501,inf,0,0,0,0
2495361020,inf,0,0,0,0
2496376069,inf,0,0,0,0
2497388061,inf,0,0,0,0
2498389633,inf,0,0,0,0
2499392356,inf,0,0,0,0
2500395020,inf,0,0,0,0
2501413020,inf,0,0,0,0
2502426020,inf,0,0,0,0
2503442196,inf,0,0,0,0
2504445290,inf,0,0,0,0
2505457020,inf,0,0,0,0
2506474551,inf,0,0,0,0
2507487112,inf,0,0,0,0
2508502511,inf,0,0,0,0
2509518027,inf,0,0,0,0
2510528580,inf,0,0,0,0
2511544065,inf,0,0,0,0
2512548052,inf,0,0,0,0
2513564096,inf,0,0,0,0
2514576050,inf,0,0,0,0
2515592061,inf,0,0,0,0
2516608041,inf,0,0,0,0
2517622020,inf,0,0,0,0
2518638138,inf,0,0,0,0
2519657068,inf,0,0,0,0
2520678087,inf,0,0,0,0
2521690020,inf,0,0,0,0
2522691020,inf,0,0,0,0
2523703020,inf,0,0,0,0
2524720060,inf,0,0,0,0
2525738020,inf,0,0,0,0
2526752307,inf,0,0,0,0
2527767105,inf,0,0,0,0
2528771085,inf,0,0,0,0
2529781289,inf,0,0,0,0
2530801029,inf,0,0,0,0
2531814020,inf,0,0,0,0
2532834179,inf,0,0,0,0
2533851020,inf,0,0,0,0
2534851022,inf,0,0,0,0
2535851104,inf,0,0,0,0
2536864021,inf,0,0,0,0
2537875022,inf,0,0,0,0
2538888075,inf,0,0,0,0
2539904515,inf,0,0,0,0
2540920132,inf,0,0,0,0
2541930024,inf,0,0,0,0
2542937022,inf,0,0,0,0
2543952052,inf,0,0,0,0
2544964072,inf,0,0,0,0
2545968063,inf,0,0,0,0
2546979072,inf,0,0,0,0
2548000049,inf,0,0,0,0
2549003020,inf,0,0,0,0
2550023429,inf,0,0,0,0
2551040514,inf,0,0,0,0
2552059021,inf,0,0,0,0
2553070020,inf,0,0,0,0
2554084064,inf,0,0,0,0
2555096451,inf,0,0,0,0
2556101032,inf,0,0,0,0
2557114020,inf,0,0,0,0
2558129020,inf,0,0,0,0
2559143020,inf,0,0,0,0
2560156101,inf,0,0,0,0
2561173744,inf,0,0,0,0
2562188061,inf,0,0,0,0
2563197628,inf,0,0,0,0
2564212066,inf,0,0,0,0
2564626025,inf,0,0,1,0
2565250021,inf,0,0,0,1
2565582830,inf,1,0,0,0
2566592232,inf,1,0,0,0
