timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
2480611340,-0.0036990035,0.01775422,-0.033289313,0.0,0.0,0.0,1.0981185e-19
2480643335,0.01813622,0.02241433,-0.014395097,0.0,0.0,0.0,1.0981185e-19
2480675334,0.03139426,-0.06357709,0.033511754,0.0,0.0,0.0,1.0981185e-19
2480707337,0.037940543,0.041054748,-0.0029563082,0.0,0.0,0.0,1.0981185e-19
2480739337,0.013190873,-0.031780466,-0.012920114,0.0,0.0,0.0,1.0981185e-19
2480771320,-0.014086988,-0.021652274,0.0038105347,0.0,0.0,0.0,1.0981185e-19
2480804149,0.044216156,-0.05387412,0.025181653,0.0,0.0,0.0,1.0981185e-19
2480836157,0.008012846,-0.038534902,-0.017471433,0.0,0.0,0.0,1.0981185e-19
2480868135,0.01513882,0.0042869844,0.005565579,0.0,0.0,0.0,1.0981185e-19
2480900135,-0.035951238,-0.011371854,0.01689362,0.0,0.0,0.0,1.0981185e-19
2480932143,-0.017462755,0.01634499,0.0011780555,0.0,0.0,0.0,1.0981185e-19
2480964114,-0.016864756,-0.08866735,-0.01252031,0.0,0.0,0.0,1.0981185e-19
2480996134,-0.0038179555,0.07322023,0.00021900907,0.0,0.0,0.0,1.0981185e-19
2481028150,-0.048508726,-0.050299466,0.020020697,0.0,0.0,0.0,1.0981185e-19
2481056215,-0.0061671548,0.055525735,-0.0014444517,0.0,0.0,0.0,1.0981185e-19
2481088135,0.03490084,-0.054012086,-0.018900111,0.0,0.0,0.0,1.0981185e-19
2481120188,7.03237e-05,0.09440978,0.029397694,0.0,0.0,0.0,1.0981185e-19
2481152133,0.028334683,-0.101449475,0.019092804,0.0,0.0,0.0,1.0981185e-19
2481184904,-0.057030972,0.0016206414,-0.03210735,0.0,0.0,0.0,1.0981185e-19
2481216914,-0.010233738,-0.11519554,0.008841041,0.0,0.0,0.0,1.0981185e-19
2481244914,-0.03358958,0.09729836,0.023635011,0.0,0.0,0.0,1.0981185e-19
2481276923,-0.011059604,0.019558553,-0.004851702,0.0,0.0,0.0,1.0981185e-19
2481308904,-0.075191475,0.08916272,-0.018737903,0.0,0.0,0.0,1.0981185e-19
2481340904,0.04906226,-0.047405362,0.03116274,0.0,0.0,0.0,1.0981185e-19
2481372904,0.0132236555,0.06256359,-0.017073447,0.0,0.0,0.0,1.0981185e-19
2481404916,0.025918825,-0.070232384,-0.010792765,0.0,0.0,0.0,1.0981185e-19
2481436925,0.020616183,0.056265768,-0.00931982,0.0,0.0,0.0,1.0981185e-19
2481468938,0.010379486,-0.005524491,0.036429737,0.0,0.0,0.0,1.0981185e-19
2481496941,0.03458658,0.0077110287,-0.026388146,0.0,0.0,0.0,1.0981185e-19
2481528926,0.019063324,-0.024936857,0.008484775,0.0,0.0,0.0,1.0981185e-19
2481560928,0.007951497,0.05864396,0.0017369017,0.0,0.0,0.0,1.0981185e-19
2481593732,0.07035424,-0.059923578,0.031552654,0.0,0.0,0.0,1.0981185e-19
2481625734,0.017480163,0.0639137,-0.040848404,0.0,0.0,0.0,1.0981185e-19
2481657728,0.0041292054,-0.038842287,0.03164743,0.0,0.0,0.0,1.0981185e-19
2481689701,0.017560791,0.03099723,0.0032098533,0.0,0.0,0.0,1.0981185e-19
2481717746,-0.019459805,-0.022184968,0.023775252,0.0,0.0,0.0,1.0981185e-19
