timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
2480611398,0.5056291,0.14421451,0.0023438951,0.0,0.0,-0.0
2480643383,0.50372046,0.14777061,0.002393947,0.0,0.0,-0.0
2480675386,0.5043929,0.14515221,0.0016938754,0.0,0.0,-0.0
2480707385,0.5044789,0.14645182,0.0019768751,0.0,0.0,-0.0
2480739389,0.50549686,0.14529346,0.0023093896,0.0,0.0,-0.0
2480771372,0.5061823,0.14599048,0.0021010013,0.0,0.0,-0.0
2480804197,0.5031144,0.1468394,0.0019332697,0.0,0.0,-0.0
2480836206,0.5049298,0.14668742,0.0023437343,0.0,0.0,-0.0
2480868187,0.50280696,0.14618996,0.0021383392,0.0,0.0,-0.0
2480900184,0.5066619,0.14439985,0.0019556973,0.0,0.0,-0.0
2480932192,0.5095567,0.13916445,0.0020667454,0.0,0.0,-0.0
2480964166,0.5094336,0.14093293,0.002141257,0.0,0.0,-0.0
2480996182,0.50847906,0.1400256,0.0021396012,0.0,0.0,-0.0
2481028198,0.5105305,0.1406427,0.0017756945,0.0,0.0,-0.0
2481056268,0.5081469,0.14353585,0.0020839102,0.0,0.0,-0.0
2481088190,0.5015482,0.14720872,0.002109507,0.0,0.0,-0.0
2481120243,0.5041447,0.14701493,0.0021176033,0.0,0.0,-0.0
2481152187,0.5004942,0.14757079,0.0021102221,0.0,0.0,-0.0
2481184960,0.5002582,0.14846382,0.002122051,0.0,0.0,-0.0
2481216971,0.5021249,0.1464095,0.0021004132,0.0,0.0,-0.0
2481244965,0.50255805,0.1484598,0.0018847357,0.0,0.0,-0.0
2481276977,0.50490886,0.14326183,0.0022400636,0.0,0.0,-0.0
2481308957,0.51050603,0.14099734,0.0022425572,0.0,0.0,-0.0
2481340952,0.511359,0.13665016,0.0016723874,0.0,0.0,-0.0
2481372959,0.5066385,0.14528209,0.0020488244,0.0,0.0,-0.0
2481404965,0.50004756,0.14829649,0.0022436127,0.0,0.0,-0.0
2481436979,0.4983045,0.15155214,0.002310932,0.0,0.0,-0.0
2481468994,0.49509785,0.15377343,0.0015520833,0.0,0.0,-0.0
2481497052,0.49642685,0.15170735,0.002151742,0.0,0.0,-0.0
2481529003,0.499187,0.14934593,0.0021300083,0.0,0.0,-0.0
2481560984,0.5012816,0.14820768,0.0021226758,0.0,0.0,-0.0
2481593796,0.5004229,0.1479267,0.002115001,0.0,0.0,-0.0
2481625790,0.4972669,0.15183155,0.0021571752,0.0,0.0,-0.0
2481657782,0.4951831,0.15357362,0.0021727968,0.0,0.0,-0.0
2481689758,0.4955486,0.15247843,0.0021588835,0.0,0.0,-0.0
2481717795,0.49573466,0.15176046,0.0021523372,0.0,0.0,-0.0
2481749781,0.49709797,0.15171798,0.0024839593,0.0,0.0,-0.0
2481781817,0.49781194,0.15076299,0.0019620333,0.0,0.0,-0.0
2481813773,0.49589336,0.15442498,0.0023072641,0.0,0.0,-0.0
2481845785,0.494837,0.15354316,0.0022248083,0.0,0.0,-0.0
2481877777,0.4950068,0.15392083,0.0022048058,0.0,0.0,-0.0
2481909785,0.49432385,0.15389784,0.0019137978,0.0,0.0,-0.0
2481941784,0.49427596,0.15373279,0.002489784,0.0,0.0,-0.0
2481974579,0.49540472,0.15263212,0.0020094612,0.0,0.0,-0.0
2482006583,0.496821,0.1529651,0.0021954102,0.0,0.0,-0.0
2482038606,0.49636072,0.15343404,0.0021065609,0.0,0.0,-0.0
2482070580,0.49414295,0.15501726,0.0022185966,0.0,0.0,-0.0
2482102584,0.4938711,0.15531184,0.0019671782,0.0,0.0,-0.0
2482130587,0.49574956,0.15423138,0.0021846048,0.0,0.0,-0.0
2482162589,0.49609894,0.15336685,0.0021738522,0.0,0.0,-0.0
