timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
2480611678,21185227,32.387482,-117.07643779999998,0.2588207,-0.9694313,-1.7258061,-0.009936107,-0.0021225822,0.0,-0.007830689,-0.012366969,-0.000788776,0.0024621931,-0.046932053,-0.0029370706,0.062913015,0.2922456,-0.6028081,0.09418025,0.047121413,18.456049,0.106633544,0.000788776,0.3672682,0.23884378,0.16726086,0.104150936,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2480715532,21185227,32.387482,-117.07643779999998,0.25540057,-0.97084296,-1.724701,-0.009936107,-0.0021225822,0.0,-0.01662727,-0.012352153,-0.003616603,0.00033814332,-0.046932053,-0.0029370706,0.062913015,-0.32713112,0.6818615,-0.63677907,0.04748342,18.456049,0.1,0.003616603,0.3555334,0.23731877,0.16291706,0.103456244,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2480812339,21185227,32.387482,-117.07643779999998,0.25280502,-0.9720276,-1.7254055,-0.009936107,-0.0021225822,0.0,-0.0092360955,-0.010124152,0.007482426,0.010156563,-0.046932053,-0.0029370706,0.062913015,0.0900369,0.6728237,0.24769698,0.047236536,18.456049,0.1,-0.007482426,0.367299,0.23820923,0.16728342,0.103992894,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2480916400,21185227,32.387482,-117.07643779999998,0.2489095,-0.973872,-1.7300618,-0.009936107,-0.0021225822,0.0,-0.022257043,-0.02125393,-0.0056428774,-0.007832338,-0.046932053,-0.0029370706,0.062913015,0.840289,-1.0716968,0.39877054,0.047492612,18.456049,0.1,0.0056428774,0.35549638,0.23676236,0.16285314,0.1033271,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2481020397,21185227,32.387482,-117.07643779999998,0.24537696,-0.9756509,-1.7374074,-0.009936107,-0.0021225822,0.0,-0.020118987,-0.010788544,-0.010215116,-0.019022351,-0.046932053,-0.0029370706,0.062913015,0.1457534,-0.29823214,0.21718808,0.04714431,18.456049,0.1,0.010215116,0.34443793,0.23701578,0.15862934,0.1030691,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2481124325,21185227,32.387482,-117.07643779999998,0.24117057,-0.97732526,-1.7505106,-0.009936107,-0.0021225822,0.0,-0.025684904,-0.0111804465,-0.017509183,-0.03724407,-0.046932053,-0.0029370706,0.062913015,-0.999563,0.82821995,-1.8193754,0.04711163,18.456049,0.1,0.017509183,0.35666084,0.23685299,0.1633193,0.103374265,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2481221087,21185227,32.387482,-117.07643779999998,0.23773636,-0.9783045,-1.7629861,-0.009936107,-0.0021225822,0.0,-0.02118871,-0.015649578,-0.012191059,-0.04063381,-0.046932053,-0.0029370706,0.062913015,1.5412616,-0.33250594,1.164335,0.046674553,18.456049,0.1,0.012191059,0.34461722,0.23642485,0.15867922,0.102925986,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2481325129,21185227,32.387482,-117.07643779999998,0.23420423,-0.9769121,-1.7774938,-0.009936107,-0.0021225822,0.0,-0.028153477,-0.018742425,-0.013263871,-0.0507216,-0.046932053,-0.0029370706,0.062913015,-0.9406699,-1.088189,0.8651427,0.04703036,18.456049,0.1,0.013263871,0.3568484,0.23630477,0.16335545,0.103247374,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2481429205,21185227,32.387482,-117.07643779999998,0.23199438,-0.9753332,-1.7930914,-0.009936107,-0.0021225822,0.0,-0.014493347,-0.0065685757,-0.021363515,-0.06712754,-0.046932053,-0.0029370706,0.062913015,1.2264972,-0.25076255,1.394319,0.04673182,18.456049,0.1,0.021363515,0.34581807,0.23661785,0.15912122,0.10301651,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
2481525227,21185227,32.387482,-117.07643779999998,0.23183443,-0.9734464,-1.8034765,-0.009936107,-0.0021225822,0.0,-0.023787366,-0.0068612224,-0.035567977,-0.08373349,-0.046932053,-0.0029370706,0.062913015,0.65242934,0.6643383,-0.97562367,0.046885934,18.456049,0.1,0.035567977,0.35713896,0.23591875,0.1634792,0.1031681,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
