timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
2480612571,0.0,0.0,0.047121413,0.0,0.9997224,0.0,0.0,0.023558527,0.0,0.0,-0.0,1,0,0,0,0,0
2480716437,0.0,0.0,0.04748342,0.0,0.9997182,0.0,0.0,0.023739481,0.0,0.0,-0.0,1,0,0,0,0,0
2480813112,0.0,0.0,0.047236536,0.0,0.9997211,0.0,0.0,0.023616072,0.0,0.0,-0.0,1,0,0,0,0,0
2480917115,0.0,0.0,0.047492612,0.0,0.99971807,0.0,0.0,0.023744075,0.0,0.0,-0.0,1,0,0,0,0,0
2481022415,0.0,0.0,0.047144312,0.0,0.9997222,0.0,0.0,0.023569973,0.0,0.0,-0.0,1,0,0,0,0,0
2481125230,0.0,0.0,0.04711163,0.0,0.99972254,0.0,0.0,0.023553636,0.0,0.0,-0.0,1,0,0,0,0,0
2481222795,0.0,0.0,0.046674557,0.0,0.99972767,0.0,0.0,0.02333516,0.0,0.0,-0.0,1,0,0,0,0,0
2481326068,0.0,0.0,0.04703036,0.0,0.9997235,0.0,0.0,0.023513013,0.0,0.0,-0.0,1,0,0,0,0,0
2481429928,0.0,0.0,0.04673182,0.0,0.999727,0.0,0.0,0.023363786,0.0,0.0,-0.0,1,0,0,0,0,0
2481526164,0.0,0.0,0.046885934,0.0,0.9997252,0.0,0.0,0.023440821,0.0,0.0,-0.0,1,0,0,0,0,0
2481630714,0.0,0.0,0.047044747,0.0,0.9997234,0.0,0.0,0.023520203,0.0,0.0,-0.0,1,0,0,0,0,0
2481734814,0.0,0.0,0.04752104,0.0,0.9997177,0.0,0.0,0.023758285,0.0,0.0,-0.0,1,0,0,0,0,0
2481830860,0.0,0.0,0.047516808,0.0,0.9997178,0.0,0.0,0.023756173,0.0,0.0,-0.0,1,0,0,0,0,0
2481934717,0.0,0.0,0.04761375,0.0,0.99971664,0.0,0.0,0.023804627,0.0,0.0,-0.0,1,0,0,0,0,0
2482039636,0.0,0.0,0.047595564,0.0,0.9997168,0.0,0.0,0.023795536,0.0,0.0,-0.0,1,0,0,0,0,0
2482135508,0.0,0.0,0.04786294,0.0,0.99971366,0.0,0.0,0.023929186,0.0,0.0,-0.0,1,0,0,0,0,0
2482240366,-0.0076405103,0.0029452003,0.04814508,0.0,0.9997018,-0.0038545802,0.0013802081,0.02407564,0.0,0.0,-0.3915972,1,0,0,0,0,0
2482340604,-0.008116816,0.0043424335,0.048480798,0.0,0.9996954,-0.0041098204,0.002072192,0.024246579,0.0,0.0,-0.5973569,1,0,0,0,0,0
2482444619,-0.013009101,0.0069629825,0.051748965,0.0,0.9996375,-0.006592357,0.0033119642,0.02589353,0.0,0.0,-0.70978254,1,0,0,0,0,0
2482540485,-0.029985202,0.008660075,0.054634843,0.0,0.9995034,-0.015104562,0.003918433,0.027375592,0.0,0.0,-0.7457887,1,0,0,0,0,0
2482644461,-0.049737778,-0.0029136804,0.047541544,-0.0,0.9994082,-0.024824655,-0.002047013,0.023724938,0.0,0.0,-0.74483114,1,0,0,0,0,0
2482749172,-0.08742843,-0.010280908,0.047541544,-0.0,0.9987546,-0.043565307,-0.0061727483,0.023520939,0.0,0.0,-0.44030982,1,0,0,0,0,0
2482845182,-0.17469147,-0.011947134,0.047541544,0.0,0.9959009,-0.08706706,-0.0080224825,0.023156546,0.0,0.0,-0.22703624,1,0,0,0,0,0
2482949095,-0.31117216,-0.0058188722,0.047541544,0.0,0.9876483,-0.15484639,-0.0065566124,0.023030613,0.0,0.0,-0.12605582,1,0,0,0,0,0
2483053681,-0.12579265,-0.2176645,0.047541544,0.0,0.992,-0.059888773,-0.10985727,0.016755974,0.0,0.0,-0.12387871,1,0,0,0,0,0
2483150217,-0.015066233,-0.22643313,0.047541544,-0.0,0.9933092,-0.0047975327,-0.113117635,0.022764891,0.0,0.0,-0.25723422,1,0,0,0,0,0
2483254089,0.0031792026,-0.21457036,0.047541544,-0.0,0.99396425,0.0041251336,-0.107011534,0.023802012,0.0,0.0,-0.37317237,1,0,0,0,0,0
2483358067,0.02815507,-0.23023152,0.047541544,-0.0,0.992964,0.016709771,-0.11448547,0.02522534,0.0,0.0,-0.4350702,1,0,0,0,0,0
2483453907,0.007558144,-0.22803065,0.047541544,0.0,0.9932093,0.006457556,-0.11364628,0.02404386,0.0,0.0,-0.46689582,1,0,0,0,0,0
2483560050,-0.013244456,-0.2455001,0.13094795,0.0,0.9903805,0.0014525937,-0.122607,0.06412439,0.0,0.0,-0.48531634,1,0,0,0,0,0
2483662861,-0.018861331,-0.2471837,0.13094795,0.0,0.99027795,-0.0012731989,-0.12362015,0.063765176,0.0,0.0,-0.47850743,1,0,0,0,0,0
2483758891,-0.0027642704,-0.27006233,0.13094795,0.0,0.9887852,0.0074412604,-0.13442221,0.0646459,0.0,0.0,-0.47922575,1,0,0,0,0,0
2483862813,0.012342817,-0.29992077,0.13094795,-0.0,0.9865793,0.015863601,-0.14867675,0.065611705,0.0,0.0,-0.4688177,1,0,0,0,0,0
2483968950,0.018963967,-0.31647256,0.13094795,-0.0,0.9852488,0.019652661,-0.15661946,0.06609782,0.0,0.0,-0.4660765,1,0,0,0,0,0
2484064569,0.029754737,-0.31974816,0.13094795,-0.0,0.98486805,0.025070092,-0.15787427,0.066948906,0.0,0.0,-0.46640283,1,0,0,0,0,0
2484168729,0.02666086,-0.31057653,0.13094795,0.0,0.98562765,0.02325981,-0.15345815,0.066691436,0.0,0.0,-0.47800213,1,0,0,0,0,0
2484268504,0.036672864,-0.319483,0.13094795,0.0,0.98479664,0.028468482,-0.15751116,0.067493595,0.0,0.0,-0.48198012,1,0,0,0,0,0
2484373734,0.027649097,-0.32726863,0.13094795,0.0,0.9842863,0.024267618,-0.16164806,0.066794224,0.0,0.0,-0.47434893,1,0,0,0,0,0
2484476599,0.038645774,-0.33043143,0.13094795,0.0,0.9838778,0.029776225,-0.16283512,0.067695156,0.0,0.0,-0.47766224,1,0,0,0,0,0
2484580441,0.02773254,-0.33473024,0.13094795,-0.0,0.9836687,0.024540918,-0.16531742,0.06681167,0.0,0.0,-0.4857107,1,0,0,0,0,0
2484676347,0.030861923,-0.34214723,0.13094795,-0.0,0.9830022,0.026309557,-0.16886058,0.0670857,0.0,0.0,-0.47632566,1,0,0,0,0,0
2484781117,0.047434796,-0.37966597,0.13094795,-0.0,0.9793632,0.03558156,-0.18671389,0.06869914,0.0,0.0,-0.47659796,1,0,0,0,0,0
2484886591,0.055587303,-0.35530922,0.13094795,0.0,0.9814513,0.03885201,-0.17448522,0.06927315,0.0,0.0,-0.48600343,1,0,0,0,0,0
2484989162,0.046797153,-0.36550167,0.13094795,0.0,0.98069376,0.03484471,-0.17979099,0.06856292,0.0,0.0,-0.48541096,1,0,0,0,0,0
2485085959,0.06144712,-0.37344044,0.13094795,0.0,0.97967714,0.0422601,-0.18317704,0.06994995,0.0,0.0,-0.48861787,1,0,0,0,0,0
2485189943,0.07149692,-0.36924806,0.13094795,0.0,0.97984314,0.04706142,-0.18076791,0.07082133,0.0,0.0,-0.4933447,1,0,0,0,0,0
