timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
2480611533,11.342983,11.514667,7.359257,2.249259,0.0,2887.338,0.648634,1.0501074,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2481104364,11.434125,11.481494,4.105019,3.451662,0.0,2887.9512,0.6171537,1.0548428,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2481609882,11.434125,11.459975,4.0412107,3.789133,0.0,2888.5203,0.59643036,1.0579836,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2482114673,11.467267,11.44827,3.9986715,3.887636,0.0,2889.077,0.58429915,1.0598309,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2482607512,10.506138,11.17885,38.115,18.870234,0.0,2892.9148,0.5204521,1.0696604,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2483112302,11.243556,11.169289,8.252578,15.01613,0.0,2894.928,0.53337723,1.0676558,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2483617875,10.953561,11.113001,18.97242,16.370272,0.0,2897.2927,0.533382,1.0676551,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2484110680,10.912132,11.069872,17.845137,17.230547,0.0,2899.7512,0.539372,1.0667286,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2484615487,10.920418,11.0336685,18.525763,17.924726,0.0,2902.3335,0.54076105,1.066514,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2485121065,10.961846,11.006002,19.100039,18.27655,0.0,2904.928,0.53975254,1.0666698,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2485613900,10.870705,10.977819,18.483223,18.76251,0.0,2907.5518,0.5347782,1.067439,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2486118685,10.87899,10.9521675,19.993359,19.190723,0.0,2910.267,0.5282493,1.0684502,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2486623474,10.837562,10.920793,21.779999,19.895622,0.0,2913.1165,0.5183802,1.0699824,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2487117093,10.762992,10.896387,20.950487,20.645563,0.0,2916.0386,0.51231915,1.0709256,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2487621932,10.945274,10.844144,18.674648,22.737917,0.0,2919.5662,0.4965344,1.0733896,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2488126686,10.829276,10.846131,20.546368,21.47602,0.0,2922.4287,0.4957829,1.0735073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2488620288,10.771277,10.842714,20.482557,20.909225,0.0,2925.2397,0.4923082,1.0740514,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2489125101,10.854134,10.842635,20.759062,20.63701,0.0,2928.1082,0.49107653,1.0742444,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2489629876,10.721563,10.818339,25.204393,21.621937,0.0,2931.196,0.47660166,1.0765176,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2490134679,10.912132,10.840078,18.632109,20.374464,0.0,2933.9766,0.48115498,1.0758015,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2490628289,10.912132,10.854649,19.014961,19.741928,0.0,2936.6138,0.48654753,1.0749546,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2491137082,11.028131,10.880003,16.037226,18.52872,0.0,2939.1377,0.49489313,1.0736465,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
