timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
2480611678,0.011621827,-0.018045476,-0.011047511,0.0066517293,0.014353633,-0.34599304,-0.0051799417,0.0054036733,-0.004037112,0.0067473836,0.0,0.0,0.0,0.0,0.0,0.26407403,0.26408145,0.5734346,0.6639454,0.6639521,4.057558,0.0025088813,0.0025123116,0.0025095202,0.09014367,0.0,0.0,0.0,0.0,0.0,9.025239e-05,0.0021797316,0.006602245,0.0,0.0,0.0,0.0,0.0,0.0
2480812339,0.035009295,-0.016221821,-0.023109427,0.014551446,0.011458397,0.31489182,-0.0051799417,0.0054036733,-0.004037112,-0.0033220537,0.0,0.0,0.0,0.0,0.0,0.26404592,0.26405331,0.5733869,0.6637926,0.66379935,4.057248,0.0025088813,0.0025123116,0.0025095202,0.09014367,0.0,0.0,0.0,0.0,0.0,0.00017127197,0.0029298994,0.008754182,0.0,0.0,0.0,0.0,0.0,0.0
2481012325,0.0026472984,0.00091127213,0.03779472,0.019083947,0.008826971,0.08157349,-0.0051799417,0.0054036733,-0.004037112,-0.0010723919,0.0,0.0,0.0,0.0,0.0,0.26410544,0.2641129,0.5733031,0.66572046,0.66572726,4.057315,0.0025088813,0.0025123116,0.0025095202,0.09014384,0.0,0.0,0.0,0.0,0.0,0.00013401535,0.006379956,0.019307425,0.0,0.0,0.0,0.0,0.0,0.0
2481213204,0.014082747,-0.005260639,0.05391395,0.0143452585,0.005321145,0.3388214,-0.0051799417,0.0054036733,-0.004037112,0.0014910288,0.0,0.0,0.0,0.0,0.0,0.26404655,0.26405388,0.57332784,0.66691744,0.6669242,4.0570226,0.0025088813,0.0025123116,0.0025095202,0.090143844,0.0,0.0,0.0,0.0,0.0,0.0001068839,0.00980208,0.030277599,0.0,0.0,0.0,0.0,0.0,0.0
2481421120,-0.086856775,-0.03585648,-0.023372263,0.0027766526,-0.010471523,-0.016536713,-0.0051799417,0.0054036733,-0.004037112,0.013786379,0.0,0.0,0.0,0.0,0.0,0.2640742,0.26408145,0.57327616,0.67171973,0.67172647,4.0568075,0.0025088813,0.0025123116,0.0025095202,0.09014371,0.0,0.0,0.0,0.0,0.0,0.00024580644,0.009311745,0.024487618,0.0,0.0,0.0,0.0,0.0,0.0
2481622036,-0.036884226,-0.024780845,0.018982794,-0.0043786466,-0.016501367,-0.09005356,-0.0051799417,0.0054036733,-0.004037112,0.012130618,0.0,0.0,0.0,0.0,0.0,0.26408148,0.2640887,0.573261,0.6749079,0.6749146,4.056608,0.0025088813,0.0025123116,0.0025095202,0.09014364,0.0,0.0,0.0,0.0,0.0,0.00026601632,0.0069912774,0.014138582,0.0,0.0,0.0,0.0,0.0,0.0
2481821947,-0.029481312,-0.021158442,-0.060540706,-0.0038593262,-0.022315264,-0.07927704,-0.0051799417,0.0054036733,-0.004037112,0.002100885,0.0,0.0,0.0,0.0,0.0,0.26409927,0.26410636,0.57333153,0.67660326,0.67660993,4.056725,0.0025088813,0.0025123116,0.0025095202,0.09014364,0.0,0.0,0.0,0.0,0.0,0.00018202294,0.008476674,0.021062505,0.0,0.0,0.0,0.0,0.0,0.0
2482022709,-0.032139506,-0.0011141491,-0.08504906,-0.0034545958,-0.026810288,-0.15546799,-0.0051799417,0.0054036733,-0.004037112,0.013319556,0.0,0.0,0.0,0.0,0.0,0.2640396,0.26404658,0.5733565,0.6794545,0.67946106,4.0569806,0.0025088813,0.0025123116,0.0025095202,0.09014357,0.0,0.0,0.0,0.0,0.0,0.00012687458,0.009472294,0.025629034,0.0,0.0,0.0,0.0,0.0,0.0
2482230766,-0.032139506,-0.0011141491,-0.08504906,-0.0034545958,-0.026810288,-0.15930557,-0.0051799417,0.0054036733,-0.004037112,0.0015670992,0.0,0.0,0.0,0.0,0.0,0.2640396,0.26404658,0.5733565,0.6794545,0.67946106,4.056785,0.0025088813,0.0025123116,0.0025095202,0.09014352,0.0,0.0,0.0,0.0,0.0,8.0007034e-05,0.0045568794,0.013874705,0.0,0.0,0.0,0.0,0.0,0.0
2482427610,0.008150643,0.024291225,-0.07671373,-0.013203606,-0.029314637,-0.082733154,-0.0051799417,0.0054036733,-0.004037112,-0.003943935,0.0,0.0,0.0,0.0,0.0,0.26417357,0.26418045,0.57331,0.68355477,0.68356144,4.0564218,0.0025088813,0.0025123116,0.0025095202,0.09014337,0.0,0.0,0.0,0.0,0.0,6.4470725e-05,0.0038815544,0.009731421,0.0,0.0,0.0,0.0,0.0,0.0
