timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
2480612529,nan,nan,nan,0.047121413,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2480813064,nan,nan,nan,0.047236536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2481013147,nan,nan,nan,0.047037948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2481213993,nan,nan,nan,0.04658677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2481422820,nan,nan,nan,0.04674681,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2481623663,nan,nan,nan,0.04731464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2481823533,nan,nan,nan,0.04760093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2482023400,nan,nan,nan,0.047738966,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
2482231669,0.23419367,-0.9551229,nan,0.048188366,nan,0.0,0.0,-2.998879,nan,nan,nan,nan,nan,nan,nan,nan,nan
2482429392,0.23419367,-0.9551229,nan,0.051200878,nan,0.0,0.0,-3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2482636240,0.23419367,-0.9551229,nan,0.047541544,-0.0,0.0,0.0,-3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2482837064,0.23419367,-0.9551229,nan,0.047541544,0.0,0.0,0.0,-1.9462477,nan,nan,nan,nan,nan,nan,nan,nan,nan
2483045098,nan,nan,nan,0.047541544,-0.0,0.22083776,0.010506885,-0.81827176,nan,nan,nan,nan,nan,nan,nan,nan,nan
2483245881,nan,nan,nan,0.047541544,-0.0,0.97455543,0.13901578,-0.82068855,nan,nan,nan,nan,nan,nan,nan,nan,nan
2483446041,nan,nan,nan,0.047541544,0.0,1.6217843,0.27937594,-0.8203734,nan,nan,nan,nan,nan,nan,nan,nan,nan
2483646724,nan,nan,nan,0.13094795,0.0,2.1558232,0.52383924,-0.8207736,nan,nan,nan,nan,nan,nan,nan,nan,nan
2483846657,nan,nan,nan,0.13094795,-0.0,2.6016562,0.8104977,-0.819978,nan,nan,nan,nan,nan,nan,nan,nan,nan
2484055449,nan,nan,nan,0.13094795,-0.0,3.0488558,1.0821791,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2484256916,nan,nan,nan,0.13094795,0.0,3.495945,1.3140246,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2484452564,nan,nan,nan,0.13094795,-0.0,3.934977,1.5293078,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2484661522,nan,nan,nan,0.13094795,-0.0,4.406455,1.7541581,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2484862570,nan,nan,nan,0.13094795,0.0,4.8569903,1.977333,-0.82041633,nan,nan,nan,nan,nan,nan,nan,nan,nan
2485061138,nan,nan,nan,0.13094795,-0.0,5.29728,2.206607,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
