timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2480611279,2480611204,0.07634851,0.018556746,0.010617616,0.0,0.0,0.0,0.0,0.0
2480715276,2480715198,0.0757308,0.018423123,-0.0019380125,0.0,0.0,0.0,0.0,0.0
2480816132,2480815991,0.07976249,0.02515314,0.0014233885,0.0,0.0,0.0,0.0,0.0
2480916078,2480916000,0.07126237,0.018953124,-0.004611155,0.0,0.0,0.0,0.0,0.0
2481020070,2481019990,0.06768356,-0.0031683426,-0.00391921,0.0,0.0,0.0,0.0,0.0
2481124068,2481123989,0.07161079,0.0056712804,-0.008108482,0.0,0.0,0.0,0.0,0.0
2481224843,2481224768,0.07597986,0.020395868,-0.00566236,0.0,0.0,0.0,0.0,0.0
2481328843,2481328768,0.084188044,0.032554157,-0.0026203932,0.0,0.0,0.0,0.0,0.0
2481428867,2481428789,0.07594442,0.039808508,0.001656016,0.0,0.0,0.0,0.0,0.0
2481528864,2481528790,0.07256153,0.025437176,-0.001815869,0.0,0.0,0.0,0.0,0.0
2481629664,2481629590,0.08053213,0.001844719,0.00967092,0.0,0.0,0.0,0.0,0.0
2481733661,2481733587,0.070563495,0.010629829,0.007782265,0.0,0.0,0.0,0.0,0.0
2481833664,2481833590,0.08720063,0.012756225,0.009451507,0.0,0.0,0.0,0.0,0.0
2481937663,2481937589,0.07103062,0.028808076,0.0072383857,0.0,0.0,0.0,0.0,0.0
2482038494,2482038413,0.071511194,0.0376397,0.001412732,0.0,0.0,0.0,0.0,0.0
2482138464,2482138390,0.07183087,0.0121495975,0.0009914257,0.0,0.0,0.0,0.0,0.0
2482242450,2482242369,0.062202204,0.03536085,-0.002712425,0.3727216,0.0,0.0,0.0,0.0
2482343271,2482343194,-0.015886784,0.029622667,-0.0030212048,0.5863145,0.0,0.0,0.0,0.0
2482443269,2482443193,-0.03947754,-0.032761056,-0.010954685,0.70477426,0.0,0.0,0.0,0.0
2482543267,2482543192,-0.081870124,0.006854357,-0.008892877,0.7435971,0.0,0.0,0.0,0.0
2482647276,2482647197,-0.038776435,0.0025395616,-0.017760871,0.76238626,0.0,0.0,0.0,0.0
2482748076,2482747997,-0.033405412,-0.00860811,-0.010671442,0.46603253,0.0,0.0,0.0,0.0
