timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
2480611605,5.177197,0.0,0,0,1,0,1,0,0
2481111605,5.067627,0.0,0,0,1,0,1,0,0
2481611605,5.167529,0.0,0,0,1,0,1,0,0
2482111605,5.194922,0.0,0,0,1,0,1,0,0
2482611605,5.054736,0.0,0,0,1,0,1,0,0
2483111605,5.1852536,0.0,0,0,1,0,1,0,0
2483621604,5.177197,0.0,0,0,1,0,1,0,0
2484121646,5.1691403,0.0,0,0,1,0,1,0,0
2484621612,5.0740724,0.0,0,0,1,0,1,0,0
2485121618,5.1755857,0.0,0,0,1,0,1,0,0
2485621636,5.182031,0.0,0,0,1,0,1,0,0
2486121605,5.1723633,0.0,0,0,1,0,1,0,0
2486631606,5.1691403,0.0,0,0,1,0,1,0,0
2487131605,5.1755857,0.0,0,0,1,0,1,0,0
2487631605,5.177197,0.0,0,0,1,0,1,0,0
2488131605,5.1449704,0.0,0,0,1,0,1,0,0
2488631605,5.153027,0.0,0,0,1,0,1,0,0
2489141624,5.1610837,0.0,0,0,1,0,1,0,0
2489641610,5.1449704,0.0,0,0,1,0,1,0,0
2490141652,5.177197,0.0,0,0,1,0,1,0,0
2490641618,5.1755857,0.0,0,0,1,0,1,0,0
2491141643,5.177197,0.0,0,0,1,0,1,0,0
2491641630,5.1739745,0.0,0,0,1,0,1,0,0
2492141612,5.1723633,0.0,0,0,1,0,1,0,0
2492641643,5.177197,0.0,0,0,1,0,1,0,0
2493151605,5.165918,0.0,0,0,1,0,1,0,0
2493651605,5.1788087,0.0,0,0,1,0,1,0,0
2494151605,5.0805173,0.0,0,0,1,0,1,0,0
2494651605,5.1691403,0.0,0,0,1,0,1,0,0
2495151605,5.143359,0.0,0,0,1,0,1,0,0
2495651605,5.057959,0.0,0,0,1,0,1,0,0
2496151605,5.0756836,0.0,0,0,1,0,1,0,0
2496651605,5.1852536,0.0,0,0,1,0,1,0,0
2497151605,5.0805173,0.0,0,0,1,0,1,0,0
2497651605,5.177197,0.0,0,0,1,0,1,0,0
2498151605,5.0756836,0.0,0,0,1,0,1,0,0
2498661612,5.182031,0.0,0,0,1,0,1,0,0
2499161623,5.182031,0.0,0,0,1,0,1,0,0
2499661651,5.1691403,0.0,0,0,1,0,1,0,0
2500161612,5.1723633,0.0,0,0,1,0,1,0,0
2500661614,5.1626954,0.0,0,0,1,0,1,0,0
2501171605,5.177197,0.0,0,0,1,0,1,0,0
2501671605,5.1739745,0.0,0,0,1,0,1,0,0
2502171605,5.1481934,0.0,0,0,1,0,1,0,0
2502671605,5.1481934,0.0,0,0,1,0,1,0,0
2503171605,5.170752,0.0,0,0,1,0,1,0,0
2503671605,5.182031,0.0,0,0,1,0,1,0,0
2504171605,5.182031,0.0,0,0,1,0,1,0,0
2504671605,5.182031,0.0,0,0,1,0,1,0,0
2505181639,5.182031,0.0,0,0,1,0,1,0,0
2505681604,5.182031,0.0,0,0,1,0,1,0,0
2506181619,5.0853515,0.0,0,0,1,0,1,0,0
2506681620,5.1755857,0.0,0,0,1,0,1,0,0
2507181609,5.190088,0.0,0,0,1,0,1,0,0
2507681650,5.170752,0.0,0,0,1,0,1,0,0
2508181645,5.15625,0.0,0,0,1,0,1,0,0
2508691605,5.0611815,0.0,0,0,1,0,1,0,0
2509191605,5.154639,0.0,0,0,1,0,1,0,0
2509691605,5.1385255,0.0,0,0,1,0,1,0,0
2510191605,5.078906,0.0,0,0,1,0,1,0,0
2510691605,5.1739745,0.0,0,0,1,0,1,0,0
2511191605,5.182031,0.0,0,0,1,0,1,0,0
2511691605,5.177197,0.0,0,0,1,0,1,0,0
2512191605,5.18042,0.0,0,0,1,0,1,0,0
2512691605,5.1755857,0.0,0,0,1,0,1,0,0
2513191605,5.0724607,0.0,0,0,1,0,1,0,0
2513691605,5.153027,0.0,0,0,1,0,1,0,0
2514191605,5.15625,0.0,0,0,1,0,1,0,0
2514701630,5.0660157,0.0,0,0,1,0,1,0,0
2515201608,5.153027,0.0,0,0,1,0,1,0,0
2515701624,5.15625,0.0,0,0,1,0,1,0,0
2516201618,5.0756836,0.0,0,0,1,0,1,0,0
2516701619,5.182031,0.0,0,0,1,0,1,0,0
2517201609,5.177197,0.0,0,0,1,0,1,0,0
2517701612,5.082129,0.0,0,0,1,0,1,0,0
2518201635,5.18042,0.0,0,0,1,0,1,0,0
2518701612,5.196533,0.0,0,0,1,0,1,0,0
2519211605,5.1449704,0.0,0,0,1,0,1,0,0
2519711605,5.165918,0.0,0,0,1,0,1,0,0
2520211605,5.1723633,0.0,0,0,1,0,1,0,0
2520711605,5.1691403,0.0,0,0,1,0,1,0,0
2521211605,5.1788087,0.0,0,0,1,0,1,0,0
2521711606,5.177197,0.0,0,0,1,0,1,0,0
2522211605,5.082129,0.0,0,0,1,0,1,0,0
2522711605,5.1691403,0.0,0,0,1,0,1,0,0
2523211605,5.1723633,0.0,0,0,1,0,1,0,0
2523721618,5.082129,0.0,0,0,1,0,1,0,0
2524221635,5.18042,0.0,0,0,1,0,1,0,0
2524721630,5.1755857,0.0,0,0,1,0,1,0,0
2525221624,5.177197,0.0,0,0,1,0,1,0,0
2525721612,5.1755857,0.0,0,0,1,0,1,0,0
2526221612,5.18042,0.0,0,0,1,0,1,0,0
2526721636,5.1788087,0.0,0,0,1,0,1,0,0
2527231605,5.182031,0.0,0,0,1,0,1,0,0
2527731605,5.0708494,0.0,0,0,1,0,1,0,0
2528231605,5.1755857,0.0,0,0,1,0,1,0,0
2528731605,5.1739745,0.0,0,0,1,0,1,0,0
2529231605,5.0853515,0.0,0,0,1,0,1,0,0
2529731605,5.1755857,0.0,0,0,1,0,1,0,0
2530231605,5.177197,0.0,0,0,1,0,1,0,0
2530731605,5.0756836,0.0,0,0,1,0,1,0,0
2531241624,5.1739745,0.0,0,0,1,0,1,0,0
2531741618,5.170752,0.0,0,0,1,0,1,0,0
2532241624,5.1755857,0.0,0,0,1,0,1,0,0
2532741636,5.1755857,0.0,0,0,1,0,1,0,0
2533241650,5.182031,0.0,0,0,1,0,1,0,0
2533741631,5.0756836,0.0,0,0,1,0,1,0,0
2534241612,5.182031,0.0,0,0,1,0,1,0,0
2534751605,5.177197,0.0,0,0,1,0,1,0,0
2535251605,5.077295,0.0,0,0,1,0,1,0,0
2535751605,5.1788087,0.0,0,0,1,0,1,0,0
2536251605,5.1788087,0.0,0,0,1,0,1,0,0
2536751605,5.08374,0.0,0,0,1,0,1,0,0
2537251605,5.1755857,0.0,0,0,1,0,1,0,0
2537751605,5.1788087,0.0,0,0,1,0,1,0,0
2538251605,5.082129,0.0,0,0,1,0,1,0,0
2538751605,5.1755857,0.0,0,0,1,0,1,0,0
2539251605,5.177197,0.0,0,0,1,0,1,0,0
2539751605,5.1755857,0.0,0,0,1,0,1,0,0
2540261612,5.1788087,0.0,0,0,1,0,1,0,0
2540761617,5.182031,0.0,0,0,1,0,1,0,0
2541261612,5.167529,0.0,0,0,1,0,1,0,0
2541761642,5.1739745,0.0,0,0,1,0,1,0,0
2542261619,5.177197,0.0,0,0,1,0,1,0,0
2542761651,5.1723633,0.0,0,0,1,0,1,0,0
2543261622,5.170752,0.0,0,0,1,0,1,0,0
2543761643,5.1723633,0.0,0,0,1,0,1,0,0
2544271605,5.13208,0.0,0,0,1,0,1,0,0
2544771605,5.1836424,0.0,0,0,1,0,1,0,0
2545271605,5.0805173,0.0,0,0,1,0,1,0,0
2545771605,5.1755857,0.0,0,0,1,0,1,0,0
2546271615,5.1723633,0.0,0,0,1,0,1,0,0
2546771605,5.0869627,0.0,0,0,1,0,1,0,0
2547271605,5.1788087,0.0,0,0,1,0,1,0,0
2547781643,5.1723633,0.0,0,0,1,0,1,0,0
2548281637,5.1755857,0.0,0,0,1,0,1,0,0
2548781643,5.1755857,0.0,0,0,1,0,1,0,0
2549281635,5.170752,0.0,0,0,1,0,1,0,0
2549781643,5.082129,0.0,0,0,1,0,1,0,0
2550291622,5.177197,0.0,0,0,1,0,1,0,0
2550791605,5.1788087,0.0,0,0,1,0,1,0,0
2551291605,5.1755857,0.0,0,0,1,0,1,0,0
2551791605,5.0805173,0.0,0,0,1,0,1,0,0
2552291605,5.1691403,0.0,0,0,1,0,1,0,0
2552791605,5.08374,0.0,0,0,1,0,1,0,0
2553291605,5.1755857,0.0,0,0,1,0,1,0,0
2553791605,5.182031,0.0,0,0,1,0,1,0,0
2554291605,5.1868653,0.0,0,0,1,0,1,0,0
2554791605,5.18042,0.0,0,0,1,0,1,0,0
2555291605,5.177197,0.0,0,0,1,0,1,0,0
2555801643,5.1723633,0.0,0,0,1,0,1,0,0
2556301643,5.1723633,0.0,0,0,1,0,1,0,0
2556801605,5.1788087,0.0,0,0,1,0,1,0,0
2557301618,5.18042,0.0,0,0,1,0,1,0,0
2557801643,5.18042,0.0,0,0,1,0,1,0,0
2558301630,5.1739745,0.0,0,0,1,0,1,0,0
2558801616,5.182031,0.0,0,0,1,0,1,0,0
2559301613,5.1788087,0.0,0,0,1,0,1,0,0
2559801643,5.1755857,0.0,0,0,1,0,1,0,0
2560301630,5.1788087,0.0,0,0,1,0,1,0,0
2560801618,5.182031,0.0,0,0,1,0,1,0,0
2561301619,5.1755857,0.0,0,0,1,0,1,0,0
2561801642,5.1788087,0.0,0,0,1,0,1,0,0
2562301658,5.177197,0.0,0,0,1,0,1,0,0
2562801612,5.1755857,0.0,0,0,1,0,1,0,0
2563301612,5.177197,0.0,0,0,1,0,1,0,0
2563801643,5.1836424,0.0,0,0,1,0,1,0,0
2564311605,5.1884766,0.0,0,0,1,0,1,0,0
2564811605,5.1836424,0.0,0,0,1,0,1,0,0
2565311605,5.194922,0.0,0,0,1,0,1,0,0
2565811605,5.0966306,0.0,0,0,1,0,1,0,0
2566311605,5.194922,0.0,0,0,1,0,1,0,0
2566811607,5.1723633,0.0,0,0,1,0,1,0,0
2567311605,5.18042,0.0,0,0,1,0,1,0,0
