timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2480851996,-0.025462639,0.0031640388,-0.0132932225,4006,0,1.1316438,0.17463705,-8.393052,4006
2480855990,0.0116337305,-0.049502924,-0.01441325,3994,0,0.21600579,0.7894743,-8.755109,3994
2480860002,0.002973555,0.040070668,-0.009488511,4012,0,-1.7372103,0.26355192,-10.48616,4012
2480863990,0.01119287,0.060574725,0.00042140528,3988,0,0.55136,1.3458768,-10.446673,3988
2480867990,0.011586189,-0.046783973,0.012109668,4000,0,-0.80472875,0.84160787,-10.77848,4000
2480871996,0.024800643,-0.01458197,0.013627314,4006,0,-0.35865098,-0.5255936,-9.4683485,4006
2480875990,-0.04865795,-0.0009763438,0.0023164258,3994,0,0.7333782,1.2546769,-8.937034,3994
2480879990,-0.01062701,0.030167745,0.0065115253,4000,0,-1.0084302,0.74175954,-9.476279,4000
2480883990,-0.03420916,0.08095762,0.014416243,4000,0,-0.76381874,0.44840676,-10.765527,4000
2480888001,-0.03558823,0.027542865,0.02490306,4011,0,-0.23766191,1.4895207,-10.675892,4011
2480891996,0.016876154,0.0139406035,0.025965583,3995,0,-0.84077275,-0.001398411,-9.293683,3995
2480895990,-0.089056544,0.026827287,0.013439743,3994,0,0.9369935,1.2858276,-7.706944,3994
2480899990,-0.007899072,-0.005854963,0.019116525,4000,0,-0.22569774,0.11954741,-9.140663,4000
2480903990,-0.0005938837,0.0634477,0.015838537,4000,0,-1.433463,0.8509272,-10.458539,4000
2480907990,-0.035801556,0.06600176,0.020504007,4000,0,0.17878869,1.0536771,-11.392351,4000
2480911996,-0.026723674,0.020856677,0.025837261,4006,0,-0.5341747,1.1798512,-10.371805,4006
2480916000,0.0021418845,-0.001373421,0.012419673,4004,0,0.60589856,-0.3691618,-9.454524,4004
2480919990,-0.054122947,-0.04215714,0.0077617825,3990,0,0.1277828,1.378634,-8.155874,3990
2480923989,0.0046819667,0.052491553,0.0025453349,3999,0,-1.0384641,0.5480394,-10.102208,3999
2480927990,-0.012317577,0.08705269,0.0020974176,4001,0,0.338484,0.6784893,-10.406561,4001
2480931996,-0.013414013,-0.0015016218,0.0025162904,4006,0,0.09197876,1.5384258,-11.137006,4006
2480935990,0.057746474,0.0018924186,-0.0001974669,3994,0,-0.6775289,-0.41552657,-9.109931,3994
2480939990,-0.07999286,-0.041648168,-0.008479411,4000,0,1.1848334,1.7462986,-8.244217,4000
2480944002,-0.0052241627,-0.022848262,-0.011922646,4012,0,-1.211056,0.53589505,-9.185017,4012
2480947998,0.009464847,0.09669511,-0.01588947,3996,0,-0.12504987,0.5640323,-10.199904,3996
2480951996,0.006350885,0.019011777,-0.010276484,3998,0,0.04670473,1.4064037,-10.753289,3998
2480955990,0.025570182,-0.0015434118,-0.006418856,3994,0,-0.68134093,0.94503886,-10.018985,3994
2480959989,-0.0261897,-0.04763748,-0.012089899,3999,0,1.3281814,0.42568493,-8.897612,3999
