rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vtol_state,landed_state
1545224250959724069,,5345,,1545224250,952310773,'',0,1
1545224251157338722,,5346,,1545224251,149962904,'',0,1
1545224251369618195,,5347,,1545224251,349019769,'',0,1
1545224251560023987,,5348,,1545224251,550721568,'',0,1
1545224251757705280,,5349,,1545224251,750775563,'',0,1
1545224251956583903,,5350,,1545224251,951102004,'',0,1
1545224252153098108,,5351,,1545224252,151060739,'',0,1
1545224252358651968,,5352,,1545224252,351767804,'',0,1
1545224252561332487,,5353,,1545224252,551115761,'',0,1
1545224252755757490,,5354,,1545224252,750334552,'',0,1
1545224252963455406,,5355,,1545224252,951215627,'',0,1
1545224253161247682,,5356,,1545224253,151292643,'',0,1
1545224253362423401,,5357,,1545224253,351333774,'',0,1
1545224253561491877,,5358,,1545224253,549738091,'',0,1
1545224253769209136,,5359,,1545224253,752801499,'',0,1
1545224253956381502,,5360,,1545224253,952748568,'',0,1
1545224254160278021,,5361,,1545224254,151985901,'',0,1
1545224254358926296,,5362,,1545224254,348338145,'',0,1
1545224254561530445,,5363,,1545224254,549610000,'',0,1
1545224254760156848,,5364,,1545224254,747414945,'',0,1
1545224254953930111,,5365,,1545224254,950193407,'',0,1
1545224255170108105,,5366,,1545224255,149236679,'',0,1
1545224255363421830,,5367,,1545224255,348241671,'',0,1
1545224255556353704,,5368,,1545224255,550106909,'',0,1
1545224255763183855,,5369,,1545224255,749464138,'',0,1
1545224255961262020,,5370,,1545224255,952999680,'',0,1
1545224256155168859,,5371,,1545224256,149522705,'',0,1
1545224256360897731,,5372,,1545224256,352394501,'',0,1
1545224256557057321,,5373,,1545224256,549502419,'',0,1
1545224256752621954,,5374,,1545224256,748463974,'',0,1
1545224256955845396,,5375,,1545224256,948370003,'',0,1
1545224257157234450,,5376,,1545224257,148469417,'',0,1
1545224257369473727,,5377,,1545224257,347754772,'',0,1
1545224257553893599,,5378,,1545224257,549093868,'',0,1
1545224257777536207,,5379,,1545224257,748872138,'',0,1
1545224258026320674,,5380,,1545224257,946604637,'',0,1
1545224258166255347,,5381,,1545224258,149681484,'',0,1
1545224258455161061,,5382,,1545224258,349814805,'',0,1
1545224258559659124,,5383,,1545224258,548323550,'',0,1
1545224258761019192,,5384,,1545224258,756540789,'',0,1
1545224258952079720,,5385,,1545224258,948102330,'',0,1
1545224259158696226,,5386,,1545224259,149266270,'',0,1
1545224259353387457,,5387,,1545224259,349446831,'',0,1
1545224259570697924,,5388,,1545224259,549332289,'',0,1
1545224259762209974,,5389,,1545224259,749705713,'',0,1
1545224259954035953,,5390,,1545224259,950351115,'',0,1
1545224260156797115,,5391,,1545224260,151369640,'',0,1
1545224260355083870,,5392,,1545224260,349425264,'',0,1
1545224260569014221,,5393,,1545224260,549273014,'',0,1
1545224260757963433,,5394,,1545224260,750310498,'',0,1
1545224260956964389,,5395,,1545224260,950056322,'',0,1
1545224261149844117,,5396,,1545224261,143938060,'',0,1
1545224261351745024,,5397,,1545224261,347999696,'',0,1
1545224261558958245,,5398,,1545224261,547439011,'',0,1
1545224261766095898,,5399,,1545224261,753032775,'',0,1
1545224261955313655,,5400,,1545224261,949822468,'',0,1
1545224262187781482,,5401,,1545224262,150459225,'',0,1
1545224262353067828,,5402,,1545224262,349164534,'',0,1
1545224262570973945,,5403,,1545224262,550704933,'',0,1
1545224262758959301,,5404,,1545224262,748043895,'',0,1
1545224262990216183,,5405,,1545224262,950000021,'',0,1
1545224263168085029,,5406,,1545224263,152133438,'',0,1
1545224263391494394,,5407,,1545224263,350770362,'',0,1
1545224263558645432,,5408,,1545224263,551644671,'',0,1
1545224263757826947,,5409,,1545224263,749719150,'',0,1
1545224263972275045,,5410,,1545224263,950720229,'',0,1
1545224264157435606,,5411,,1545224264,150652304,'',0,1
1545224264386000830,,5412,,1545224264,354823993,'',0,1
1545224264555635924,,5413,,1545224264,551676551,'',0,1
1545224264765259392,,5414,,1545224264,750879411,'',0,1
1545224264973690206,,5415,,1545224264,948762693,'',0,1
1545224265161018154,,5416,,1545224265,147826283,'',0,1
1545224265355287180,,5417,,1545224265,349796421,'',0,1
1545224265571048502,,5418,,1545224265,548542564,'',0,1
