rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1545224250843466872,,16801,,1545224250,627602880,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224250843805107,,16802,,1545224250,691602880,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224250844404617,,16803,,1545224250,735600576,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224250845322316,,16804,,1545224250,799600576,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224250860262792,,16805,,1545224250,844599040,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224250911043347,,16806,,1545224250,887599040,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224250963939991,,16807,,1545224250,931596736,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251021129619,,16808,,1545224250,996596736,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251064876990,,16809,,1545224251,40595712,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251117342840,,16810,,1545224251,84595712,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251159578962,,16811,,1545224251,144596224,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251212964031,,16812,,1545224251,192596224,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251272629449,,16813,,1545224251,232589824,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251321464086,,16814,,1545224251,296589824,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224251372172000,,16815,,1545224251,336589312,'',255,"[1517, 1515, 1092, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
