rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,type_mask,orientation,x,y,z,w,body_rate,x,y,z,thrust
1545224250842383597,,10686,,1545224250,540602112,'',0,,6.1721163958e-17,6.1721163958e-17,-0.00801519262186,-0.999967909134,,-0.217037305236,-0.00691114505753,-0.000107767496957,0.0
1545224250843615910,,10687,,1545224250,640602880,'',0,,6.17384911145e-17,6.17384911145e-17,-0.00830052678628,-0.99996554891,,-0.217067226768,-0.0068600429222,-8.14901577542e-05,0.0
1545224250844298416,,10688,,1545224250,740600576,'',0,,6.17560711846e-17,6.17560711846e-17,-0.0085900334887,-0.99996314654,,-0.217386782169,-0.00689339870587,5.26560907019e-05,0.0
1545224250858196755,,10689,,1545224250,840599040,'',0,,6.17740022367e-17,6.17740022367e-17,-0.00888552504361,-0.999960491289,,-0.217322662473,-0.00677442830056,-8.99748847587e-05,0.0
1545224250959716892,,10690,,1545224250,940596736,'',0,,6.17923513703e-17,6.17923513703e-17,-0.00918788653483,-0.99995779389,,-0.217482358217,-0.00678957160562,5.14815583301e-05,0.0
1545224251057473600,,10691,,1545224251,40595712,'',0,,6.18105198514e-17,6.18105198514e-17,-0.00948738204035,-0.999955012198,,-0.217409610748,-0.00685120653361,-0.000103937658423,0.0
1545224251157557663,,10692,,1545224251,140596224,'',0,,6.18279760455e-17,6.18279760455e-17,-0.00977528716253,-0.99995218836,,-0.21709138155,-0.00687034754083,-0.000100679550087,0.0
1545224251271622554,,10693,,1545224251,240589824,'',0,,6.18460258121e-17,6.18460258121e-17,-0.0100729703536,-0.999949280227,,-0.216955274343,-0.00673702033237,-6.09550406807e-05,0.0
1545224251371945287,,10694,,1545224251,340589312,'',0,,6.18631981236e-17,6.18631981236e-17,-0.0103563236161,-0.999946372094,,-0.217087104917,-0.00679354229942,-8.33026424516e-05,0.0
1545224251457262888,,10695,,1545224251,440588288,'',0,,6.18802930126e-17,6.18802930126e-17,-0.0106384967669,-0.999943379668,,-0.217178836465,-0.00652813958004,-7.10454332875e-05,0.0
1545224251559999600,,10696,,1545224251,540585472,'',0,,6.18964020551e-17,6.18964020551e-17,-0.010904443381,-0.999940513682,,-0.217304125428,-0.00676160631701,5.16309119121e-05,0.0
1545224251657503198,,10697,,1545224251,641583936,'',0,,6.19131562851e-17,6.19131562851e-17,-0.0111810952946,-0.999937479109,,-0.217332601547,-0.00696083717048,-6.12440780969e-05,0.0
1545224251758266886,,10698,,1545224251,741577024,'',0,,6.19294304956e-17,6.19294304956e-17,-0.0114499078944,-0.999934444536,,-0.217394307256,-0.0070069921203,-6.50891088299e-05,0.0
1545224251852967005,,10699,,1545224251,841576256,'',0,,6.19457356751e-17,6.19457356751e-17,-0.0117193105501,-0.99993132567,,-0.217352986336,-0.00718788011,-7.90522972238e-05,0.0
1545224251959469512,,10700,,1545224251,941569344,'',0,,6.19630938006e-17,6.19630938006e-17,-0.0120062041479,-0.999927911775,,-0.217597290874,-0.00716312183067,5.53018180653e-05,0.0
1545224252052195961,,10701,,1545224252,41566784,'',0,,6.19791976816e-17,6.19791976816e-17,-0.0122724457899,-0.999924666467,,-0.217719733715,-0.00730464188382,5.63521971344e-05,0.0
1545224252158770647,,10702,,1545224252,141563456,'',0,,6.19969584042e-17,6.19969584042e-17,-0.0125661250304,-0.999921041838,,-0.217739671469,-0.00743185682222,5.74591831537e-05,0.0
1545224252254084497,,10703,,1545224252,241561664,'',0,,6.20134287517e-17,6.20134287517e-17,-0.0128385622591,-0.999917585797,,-0.2176990062,-0.00746423890814,-8.45659160404e-05,0.0
1545224252369052209,,10704,,1545224252,341560128,'',0,,6.20296255397e-17,6.20296255397e-17,-0.0131065740688,-0.999914087608,,-0.21785518527,-0.00770042324439,5.91301941313e-05,0.0
1545224252463841293,,10705,,1545224252,441557056,'',0,,6.20463229932e-17,6.20463229932e-17,-0.0133828888077,-0.999910462979,,-0.217735037208,-0.00766121875495,-8.51289878483e-05,0.0
1545224252562453720,,10706,,1545224252,541556544,'',0,,6.20627417257e-17,6.20627417257e-17,-0.0136547359806,-0.999906754057,,-0.217591375113,-0.00763894570991,5.86827554798e-05,0.0
1545224252657398113,,10707,,1545224252,641550656,'',0,,6.20782520341e-17,6.20782520341e-17,-0.0139115367285,-0.999903255868,,-0.217822283506,-0.00781486835331,-7.6678887126e-05,0.0
1545224252757598469,,10708,,1545224252,741550144,'',0,,6.20946810896e-17,6.20946810896e-17,-0.0141836789294,-0.999899420505,,-0.218048125505,-0.00805792678148,-6.74366019666e-05,0.0
1545224252852627745,,10709,,1545224252,842547584,'',0,,6.21108056166e-17,6.21108056166e-17,-0.0144508478021,-0.999895585142,,-0.218120902777,-0.008051619865,-5.8647019614e-05,0.0
1545224252963104802,,10710,,1545224252,942539392,'',0,,6.21277250146e-17,6.21277250146e-17,-0.0147312507852,-0.999891496898,,-0.218196600676,-0.00802161637694,-7.24419296603e-05,0.0
1545224253067766272,,10711,,1545224253,42537600,'',0,,6.21437824421e-17,6.21437824421e-17,-0.0149974502804,-0.999887535094,,-0.218193918467,-0.00814531650394,-5.98473598075e-05,0.0
1545224253161220915,,10712,,1545224253,142533760,'',0,,6.2159081129e-17,6.2159081129e-17,-0.0152511321616,-0.999883699731,,-0.218231916428,-0.00811576936394,-6.13482479821e-05,0.0
1545224253256137244,,10713,,1545224253,242530432,'',0,,6.21749114505e-17,6.21749114505e-17,-0.0155137070278,-0.999879653633,,-0.218454256654,-0.00780797610059,-5.15175961482e-05,0.0
1545224253366125679,,10714,,1545224253,342524288,'',0,,6.21906178959e-17,6.21906178959e-17,-0.0157742588453,-0.999875607536,,-0.21865580976,-0.00777528621256,-4.68859470857e-05,0.0
1545224253472473056,,10715,,1545224253,442519168,'',0,,6.22059062598e-17,6.22059062598e-17,-0.0160279828734,-0.999871561438,,-0.218603044748,-0.00809200759977,6.23402665951e-05,0.0
1545224253561867173,,10716,,1545224253,543515840,'',0,,6.22206475047e-17,6.22206475047e-17,-0.0162726874758,-0.999867599635,,-0.218611255288,-0.00823930837214,-3.87188410969e-05,0.0
1545224253655962584,,10717,,1545224253,642514560,'',0,,6.22359616761e-17,6.22359616761e-17,-0.0165269594129,-0.999863427097,,-0.218537330627,-0.00843597948551,-5.28963864781e-05,0.0
1545224253772818417,,10718,,1545224253,743509184,'',0,,6.22510332571e-17,6.22510332571e-17,-0.0167772695462,-0.999859254559,,-0.218795493245,-0.00831122044474,-6.9269517553e-05,0.0
1545224253859424879,,10719,,1545224253,833509184,'',0,,6.22641021758e-17,6.22641021758e-17,-0.0169943679629,-0.999855587783,,-0.218751177192,-0.00829694792628,4.07725701734e-06,0.0
1545224253979639094,,10720,,1545224253,943502528,'',0,,6.22807067224e-17,6.22807067224e-17,-0.0172702612332,-0.999850867336,,-0.218961492181,-0.00830728560686,-3.36921402777e-05,0.0
1545224254067704403,,10721,,1545224254,43500224,'',0,,6.22958454028e-17,6.22958454028e-17,-0.0175218779188,-0.999846484063,,-0.218770205975,-0.00811908487231,-7.68932804931e-05,0.0
1545224254165953365,,10722,,1545224254,143495872,'',0,,6.23105711632e-17,6.23105711632e-17,-0.0177667089618,-0.999842142938,,-0.219022631645,-0.0081453230232,-4.04739766964e-05,0.0
1545224254255264163,,10723,,1545224254,243491264,'',0,,6.23250904635e-17,6.23250904635e-17,-0.0180081261101,-0.99983784396,,-0.219084918499,-0.00817026291043,6.27726622042e-05,0.0
1545224254361643287,,10724,,1545224254,333489472,'',0,,6.23379993758e-17,6.23379993758e-17,-0.0182228221564,-0.999833966449,,-0.219381570816,-0.00834331288934,2.23722927331e-05,0.0
1545224254456648551,,10725,,1545224254,433487168,'',0,,6.23515947676e-17,6.23515947676e-17,-0.0184490242924,-0.999829793911,,-0.219565019011,-0.00846194010228,-5.49932110516e-06,0.0
1545224254570422874,,10726,,1545224254,543484864,'',0,,6.23683593207e-17,6.23683593207e-17,-0.0187280364295,-0.999824567702,,-0.219170615077,-0.00835285242647,-4.61479721707e-05,0.0
1545224254667799489,,10727,,1545224254,634481280,'',0,,-2.92099988949e-06,0.000154236067998,-0.0189351038962,-0.999820732339,,-0.219279706478,-0.0103587722406,2.2138845452e-05,0.0
1545224254760232398,,10728,,1545224254,744475392,'',0,,0.150249788238,0.147892297681,-0.0187699303969,-0.977343607294,,-2.19800567627,-1.88670122623,0.0138188358396,0.0
1545224254866259554,,10729,,1545224254,844469760,'',0,,0.211956283018,0.213303816876,-0.0185412837438,-0.953536749178,,-3.01234149933,-2.71493172646,0.0200347770005,0.0
1545224254959186178,,10730,,1545224254,934467968,'',0,,0.208410350938,0.216769669944,-0.0187470025113,-0.953532660934,,-2.9631690979,-2.76487350464,0.0204503014684,0.0
1545224255052982733,,10731,,1545224255,34469248,'',0,,0.208360428326,0.216817653802,-0.0189656603614,-0.953528446249,,-2.962870121,-2.76497459412,0.0204239040613,0.0
1545224255171324855,,10732,,1545224255,134466432,'',0,,0.208310754313,0.216865389059,-0.0191848661205,-0.95352402083,,-2.96312856674,-2.76505947113,0.0204090941697,0.0
1545224255256070193,,10733,,1545224255,234462080,'',0,,0.208260982178,0.216913180293,-0.0194038189985,-0.953519511117,,-2.96322917938,-2.76515960693,0.0204323437065,0.0
1545224255363027648,,10734,,1545224255,334461312,'',0,,0.208212628547,0.216959637315,-0.0196164498493,-0.953515254286,,-2.96346735954,-2.76518940926,0.020455814898,0.0
1545224255453761679,,10735,,1545224255,434458496,'',0,,0.208163062866,0.217007179948,-0.0198341804687,-0.953510702426,,-2.96353268623,-2.76527881622,0.0204648375511,0.0
1545224255557380068,,10736,,1545224255,534453888,'',0,,0.208113393463,0.217054826302,-0.020052501144,-0.953506150566,,-2.96357679367,-2.76538872719,0.0204590521753,0.0
1545224255653328160,,10737,,1545224255,634456704,'',0,,0.208065285799,0.217100910917,-0.0202637411487,-0.953501683,,-2.9634346962,-2.76526999474,0.0204009208828,0.0
1545224255765381622,,10738,,1545224255,735454400,'',0,,0.208012121501,0.217151841432,-0.0204971503958,-0.953496709672,,-2.96331453323,-2.76540899277,0.0204089116305,0.0
1545224255852060140,,10739,,1545224255,835452608,'',0,,0.207964519599,0.217197462432,-0.0207062409112,-0.953492199959,,-2.96322631836,-2.76534485817,0.020415648818,0.0
1545224255961297110,,10740,,1545224255,935449024,'',0,,0.207914981906,0.217244850636,-0.020923592209,-0.953487437366,,-2.96328401566,-2.76528739929,0.0204904451966,0.0
1545224256054013917,,10741,,1545224256,35448000,'',0,,0.207867707959,0.217290101534,-0.0211310811442,-0.953482843359,,-2.96293735504,-2.76523828506,0.0204565208405,0.0
1545224256157868818,,10742,,1545224256,135448000,'',0,,0.207808036582,0.217347159806,-0.0213928973672,-0.953477027094,,-2.96288108826,-2.76520729065,0.0203790385276,0.0
1545224256276911966,,10743,,1545224256,235443904,'',0,,0.207819448171,0.21733625398,-0.021342869058,-0.953478165059,,-2.9626660347,-2.76551699638,0.0202309750021,0.0
1545224256362199475,,10744,,1545224256,345443648,'',0,,0.207760826185,0.217392305008,-0.0216000491276,-0.953472348794,,-2.9627468586,-2.76569247246,0.0201619584113,0.0
1545224256453370245,,10745,,1545224256,435441088,'',0,,0.213346340001,0.211913422719,-0.0217625673754,-0.953468639871,,-3.03388834,-2.69260644913,0.0197091493756,0.0
1545224256557544323,,10746,,1545224256,535435456,'',0,,0.00224638619587,-0.00564822626803,-0.0230473297586,-0.999715913127,,-0.246110424399,0.0646207332611,-0.000516032625455,0.0
1545224256658395692,,10747,,1545224256,635433408,'',0,,0.000718034439949,0.000600165869874,-0.0232907699556,-0.9997283043,,-0.228304430842,-0.0168122518808,9.95342052192e-05,0.0
1545224256752863313,,10748,,1545224256,736431360,'',0,,8.32650709197e-06,9.69119218716e-06,-0.02358305835,-0.999721855832,,-0.21911740303,-0.00933011248708,4.67469453724e-06,0.0
1545224256852567501,,10749,,1545224256,836431360,'',0,,-4.08367693863e-07,-2.00726608816e-07,-0.0238283108615,-0.999716081714,,-0.219205126166,-0.00853307172656,8.4994113422e-05,0.0
1545224256957337457,,10750,,1545224256,936428032,'',0,,-8.21463693354e-09,-6.06957551742e-09,-0.0240452828376,-0.999710855505,,-0.219154343009,-0.00871951971203,2.71499175142e-05,0.0
1545224257067254137,,10751,,1545224257,36426240,'',0,,-1.15152520928e-10,-1.14180847897e-10,-0.0243127467383,-0.99970436489,,-0.219420194626,-0.00883959047496,8.4381797933e-05,0.0
1545224257157284868,,10752,,1545224257,136420096,'',0,,6.27143811401e-17,6.27143811401e-17,-0.0245037984026,-0.999699770884,,-0.219153523445,-0.00871246214956,2.22300113819e-05,0.0
1545224257263322955,,10753,,1545224257,236415232,'',0,,6.27282449299e-17,6.27282449299e-17,-0.0247359432442,-0.999694038912,,-0.219780519605,-0.0085831657052,7.57217276259e-05,0.0
1545224257370967037,,10754,,1545224257,336413184,'',0,,6.27397963676e-17,6.27397963676e-17,-0.0249293972789,-0.999689234172,,-0.219841852784,-0.00844833720475,1.31214510475e-05,0.0
1545224257455379893,,10755,,1545224257,436406528,'',0,,6.27529065784e-17,6.27529065784e-17,-0.0251490245065,-0.999683712935,,-0.220360308886,-0.00834004301578,6.48193745292e-05,0.0
1545224257556442390,,10756,,1545224257,546406528,'',0,,6.27649690047e-17,6.27649690047e-17,-0.0253511186451,-0.999678613166,,-0.219980597496,-0.00861600320786,8.06901789474e-06,0.0
1545224257654954018,,10757,,1545224257,637400896,'',0,,6.27751629678e-17,6.27751629678e-17,-0.0255219819689,-0.999674229894,,-0.220186591148,-0.00865424610674,6.68721477268e-05,0.0
1545224257777593449,,10758,,1545224257,737397056,'',0,,6.27861879324e-17,6.27861879324e-17,-0.0257067537528,-0.999669509447,,-0.219651505351,-0.00891204178333,9.99856638373e-06,0.0
1545224257901452575,,10759,,1545224257,837393728,'',0,,6.27955973475e-17,6.27955973475e-17,-0.0258644672599,-0.999665463349,,-0.22005084157,-0.00887848064303,7.08239458618e-05,0.0
1545224258026393527,,10760,,1545224257,937391936,'',0,,6.28078042957e-17,6.28078042957e-17,-0.0260691323563,-0.999660152846,,-0.220270901918,-0.00892946962267,1.0964532521e-05,0.0
1545224258082832179,,10761,,1545224258,37390656,'',0,,6.28188447449e-17,6.28188447449e-17,-0.0262542834618,-0.999655305959,,-0.220280274749,-0.00883959233761,-2.54625774687e-06,0.0
1545224258180409570,,10762,,1545224258,137390144,'',0,,6.28312168612e-17,6.28312168612e-17,-0.0264618145439,-0.999649826868,,-0.22049741447,-0.00905710551888,7.70790429669e-05,0.0
1545224258303601051,,10763,,1545224258,237388352,'',0,,6.28406107917e-17,6.28406107917e-17,-0.0266194016104,-0.99964565433,,-0.219752535224,-0.0091916481033,-1.1275491488e-05,0.0
1545224258455288662,,10764,,1545224258,337388096,'',0,,6.28494008268e-17,6.28494008268e-17,-0.0267669155802,-0.999641692527,,-0.220232218504,-0.00933601986617,3.30142247549e-05,0.0
1545224258475298474,,10765,,1545224258,437386048,'',0,,6.28605238599e-17,6.28605238599e-17,-0.0269535839723,-0.999636677052,,-0.220278248191,-0.00973168574274,4.78070869576e-05,0.0
1545224258562240943,,10766,,1545224258,537381696,'',0,,6.28703307105e-17,6.28703307105e-17,-0.0271182095626,-0.999632209486,,-0.220109537244,-0.00980613473803,7.60923576308e-05,0.0
1545224258656207004,,10767,,1545224258,637378880,'',0,,6.28811543767e-17,6.28811543767e-17,-0.0272998624797,-0.999627320451,,-0.220060780644,-0.00979467760772,7.56031586207e-05,0.0
1545224258770143426,,10768,,1545224258,737377344,'',0,,6.28909302583e-17,6.28909302583e-17,-0.0274640666015,-0.999622768592,,-0.219459965825,-0.00993371941149,1.8930681108e-05,0.0
1545224258853056012,,10769,,1545224258,838372992,'',0,,6.28992505968e-17,6.28992505968e-17,-0.0276037834043,-0.999618933228,,-0.220217734575,-0.0097908070311,7.62818017392e-05,0.0
1545224258953615441,,10770,,1545224258,938373248,'',0,,6.29107607425e-17,6.29107607425e-17,-0.0277971109984,-0.999613580579,,-0.220277279615,-0.0100397029892,7.79730180511e-05,0.0
1545224259068333162,,10771,,1545224259,38367360,'',0,,6.2919772722e-17,6.2919772722e-17,-0.0279485024782,-0.999609365894,,-0.220206201077,-0.0101359346882,7.90956255514e-05,0.000744851364288
1545224259158652936,,10772,,1545224259,138363008,'',0,,6.29273704505e-17,6.29273704505e-17,-0.0280761652824,-0.999605783412,,-0.220235794783,-0.0101571623236,7.91148777353e-05,0.0191868189722
1545224259257976872,,10773,,1545224259,238359680,'',0,,6.29382508931e-17,6.29382508931e-17,-0.0282589983112,-0.999600641496,,-0.219621017575,-0.0103878984228,3.26374902215e-05,0.0180184300989
1545224259355045438,,10774,,1545224259,338357888,'',0,,6.294429501e-17,6.294429501e-17,-0.028360614363,-0.999597733364,,-0.219742432237,-0.0102550787851,7.94005318312e-05,0.0167746320367
1545224259491154872,,10775,,1545224259,438352512,'',0,,6.29537663631e-17,6.29537663631e-17,-0.0285198030098,-0.999593223651,,-0.219920322299,-0.0100331706926,7.78541289037e-05,0.0155422724783
1545224259571787067,,10776,,1545224259,538352512,'',0,,6.29780976755e-17,6.29780976755e-17,-0.0289288803215,-0.999581506827,,-0.219150453806,-0.0109707331285,8.4543680714e-05,0.015623989515
1545224259660024470,,10777,,1545224259,639349696,'',0,,6.29692147335e-17,6.29692147335e-17,-0.0287795540372,-0.999585763659,,-0.217558205128,-0.0116812586784,8.95050470717e-05,0.0156250447035
1545224259762319421,,10778,,1545224259,739347392,'',0,,6.29825623733e-17,6.29825623733e-17,-0.0290040281523,-0.999579273044,,-0.21716336906,-0.0102299079299,7.78567846282e-05,0.015625
1545224259857820477,,10779,,1545224259,839340992,'',0,,6.29898658963e-17,6.29898658963e-17,-0.0291268440689,-0.999575732709,,-0.216457679868,-0.0109274173155,8.34499078337e-05,0.0156250018626
1545224259956978298,,10780,,1545224259,939334848,'',0,,6.29973707177e-17,6.29973707177e-17,-0.029253116027,-0.999572023786,,-0.217193722725,-0.0104269627482,0.000175421562744,0.0156250018626
1545224260070270309,,10781,,1545224260,39327168,'',0,,6.30057942862e-17,6.30057942862e-17,-0.0293948137317,-0.999567893395,,-0.216133058071,-0.011196740903,6.2201936089e-05,0.0156250018626
1545224260156803579,,10782,,1545224260,139324864,'',0,,6.30115596821e-17,6.30115596821e-17,-0.0294918779239,-0.999564985262,,-0.216456785798,-0.0107539175078,7.95831510914e-05,0.0156250018626
1545224260253014301,,10783,,1545224260,239323072,'',0,,6.30210620041e-17,6.30210620041e-17,-0.0296517830671,-0.999560264815,,-0.21623377502,-0.0109337912872,8.41659784783e-05,0.0156250018626
1545224260355491972,,10784,,1545224260,340317696,'',0,,6.30284687571e-17,6.30284687571e-17,-0.0297764112982,-0.999556598039,,-0.215925872326,-0.0104812877253,-5.61140150239e-05,0.0156250018626
1545224260455683397,,10785,,1545224260,439315904,'',0,,6.30368355491e-17,6.30368355491e-17,-0.0299172660659,-0.999552383355,,-0.21595312655,-0.0104668065906,8.22854635771e-05,0.0156250018626
1545224260569420074,,10786,,1545224260,540313600,'',0,,6.30464875547e-17,6.30464875547e-17,-0.0300797843137,-0.99954749432,,-0.215525344014,-0.0107036726549,5.35619474249e-05,0.0156250018626
1545224260655030193,,10787,,1545224260,640308224,'',0,,6.3051834869e-17,6.3051834869e-17,-0.0301698099822,-0.999544796922,,-0.21579298377,-0.0102493297309,-3.45327571267e-05,0.0173752326518
1545224260758039328,,10788,,1545224260,739303104,'',0,,6.3059861002e-17,6.3059861002e-17,-0.0303050170722,-0.999540666531,,-0.214074715972,-0.010418782942,7.85933152656e-05,0.0506234951317
