rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fluid_pressure,variance
1545224250843794602,,50669,,1545224250,663024880,"""base_link""",101432.0,0.0
1545224250844287373,,50670,,1545224250,703020880,"""base_link""",101436.0,0.0
1545224250846656863,,50671,,1545224250,723020880,"""base_link""",101436.0,0.0
1545224250847016693,,50672,,1545224250,743018576,"""base_link""",101435.0,0.0
1545224250850766447,,50673,,1545224250,763018576,"""base_link""",101432.0,0.0
1545224250851245856,,50674,,1545224250,783018576,"""base_link""",101435.0,0.0
1545224250851305574,,50675,,1545224250,803018576,"""base_link""",101436.0,0.0
1545224250851347166,,50676,,1545224250,823018576,"""base_link""",101436.0,0.0
1545224250858226093,,50677,,1545224250,843017040,"""base_link""",101437.0,0.0
1545224250877281270,,50678,,1545224250,863027040,"""base_link""",101434.0,0.0
1545224250894447330,,50679,,1545224250,883032040,"""base_link""",101432.0,0.0
1545224250912097521,,50680,,1545224250,903017040,"""base_link""",101432.0,0.0
1545224250943586029,,50681,,1545224250,923017040,"""base_link""",101432.992188,0.0
1545224250959692795,,50682,,1545224250,943014736,"""base_link""",101430.0,0.0
1545224250976309497,,50683,,1545224250,963014736,"""base_link""",101434.0,0.0
1545224250994680589,,50684,,1545224250,983014736,"""base_link""",101432.992188,0.0
1545224251021342392,,50685,,1545224251,3815736,"""base_link""",101438.992188,0.0
1545224251034283812,,50686,,1545224251,23814736,"""base_link""",101438.992188,0.0
1545224251064516027,,50687,,1545224251,43835712,"""base_link""",101436.0,0.0
1545224251073252007,,50688,,1545224251,63813712,"""base_link""",101432.992188,0.0
1545224251100975894,,50689,,1545224251,83813712,"""base_link""",101434.0,0.0
1545224251117526066,,50690,,1545224251,103813712,"""base_link""",101431.0,0.0
1545224251134603548,,50691,,1545224251,123814712,"""base_link""",101434.0,0.0
1545224251157491750,,50692,,1545224251,143817224,"""base_link""",101437.0,0.0
1545224251190651375,,50693,,1545224251,183818224,"""base_link""",101437.0,0.0
1545224251219189079,,50694,,1545224251,203817224,"""base_link""",101441.0,0.0
1545224251235606162,,50695,,1545224251,223814224,"""base_link""",101431.0,0.0
1545224251272297342,,50696,,1545224251,243807824,"""base_link""",101440.0,0.0
1545224251287399794,,50697,,1545224251,263807824,"""base_link""",101425.992188,0.0
1545224251298769050,,50698,,1545224251,283807824,"""base_link""",101435.0,0.0
1545224251321876317,,50699,,1545224251,303807824,"""base_link""",101437.0,0.0
1545224251337679533,,50700,,1545224251,323855824,"""base_link""",101432.992188,0.0
1545224251371899854,,50701,,1545224251,343849312,"""base_link""",101432.0,0.0
1545224251394051468,,50702,,1545224251,363806312,"""base_link""",101438.0,0.0
1545224251407029076,,50703,,1545224251,383856312,"""base_link""",101436.0,0.0
1545224251424120576,,50704,,1545224251,403841312,"""base_link""",101438.0,0.0
1545224251438842483,,50705,,1545224251,423807312,"""base_link""",101434.0,0.0
1545224251456321404,,50706,,1545224251,443806288,"""base_link""",101430.0,0.0
1545224251473809324,,50707,,1545224251,463810288,"""base_link""",101432.992188,0.0
1545224251494218989,,50708,,1545224251,484654288,"""base_link""",101434.0,0.0
1545224251514334458,,50709,,1545224251,505419288,"""base_link""",101438.0,0.0
1545224251535863163,,50710,,1545224251,521418288,"""base_link""",101436.0,0.0
1545224251569024059,,50711,,1545224251,545403472,"""base_link""",101434.0,0.0
1545224251577785070,,50712,,1545224251,565421472,"""base_link""",101431.0,0.0
1545224251597203327,,50713,,1545224251,581404472,"""base_link""",101434.0,0.0
1545224251614638612,,50714,,1545224251,601403472,"""base_link""",101434.0,0.0
1545224251635755210,,50715,,1545224251,621405472,"""base_link""",101438.0,0.0
1545224251658157826,,50716,,1545224251,645401936,"""base_link""",101435.0,0.0
1545224251675723159,,50717,,1545224251,665401936,"""base_link""",101436.0,0.0
1545224251699107480,,50718,,1545224251,681413936,"""base_link""",101431.0,0.0
1545224251719987618,,50719,,1545224251,705410936,"""base_link""",101432.992188,0.0
1545224251742830732,,50720,,1545224251,725401936,"""base_link""",101435.0,0.0
1545224251768219608,,50721,,1545224251,745395024,"""base_link""",101434.0,0.0
1545224251786411807,,50722,,1545224251,761411024,"""base_link""",101437.0,0.0
1545224251800527827,,50723,,1545224251,785395024,"""base_link""",101435.0,0.0
1545224251817248084,,50724,,1545224251,801404024,"""base_link""",101431.0,0.0
1545224251832340477,,50725,,1545224251,821423024,"""base_link""",101437.0,0.0
1545224251857633190,,50726,,1545224251,845395256,"""base_link""",101438.0,0.0
1545224251872420082,,50727,,1545224251,862994256,"""base_link""",101438.992188,0.0
1545224251896185680,,50728,,1545224251,882994256,"""base_link""",101435.0,0.0
1545224251915419394,,50729,,1545224251,902994256,"""base_link""",101435.0,0.0
1545224251936191734,,50730,,1545224251,922994256,"""base_link""",101438.0,0.0
1545224251959630321,,50731,,1545224251,946988344,"""base_link""",101437.0,0.0
1545224251969267287,,50732,,1545224251,962987344,"""base_link""",101434.0,0.0
1545224251993188616,,50733,,1545224251,983019344,"""base_link""",101436.0,0.0
1545224252014877843,,50734,,1545224252,2989344,"""base_link""",101441.0,0.0
1545224252048978816,,50735,,1545224252,26987344,"""base_link""",101441.0,0.0
1545224252062284903,,50736,,1545224252,46984784,"""base_link""",101441.0,0.0
1545224252074158301,,50737,,1545224252,62984784,"""base_link""",101437.0,0.0
1545224252093783278,,50738,,1545224252,82984784,"""base_link""",101438.0,0.0
1545224252123849435,,50739,,1545224252,102984784,"""base_link""",101436.0,0.0
1545224252134589107,,50740,,1545224252,122998784,"""base_link""",101436.0,0.0
1545224252157604151,,50741,,1545224252,142992456,"""base_link""",101443.0,0.0
1545224252170638338,,50742,,1545224252,162981456,"""base_link""",101444.0,0.0
1545224252201138840,,50743,,1545224252,182981456,"""base_link""",101447.0,0.0
1545224252227427677,,50744,,1545224252,207067456,"""base_link""",101442.0,0.0
1545224252249345255,,50745,,1545224252,223791456,"""base_link""",101442.0,0.0
1545224252259005262,,50746,,1545224252,243779664,"""base_link""",101438.992188,0.0
1545224252293261479,,50747,,1545224252,283779664,"""base_link""",101449.0,0.0
1545224252314994562,,50748,,1545224252,303783664,"""base_link""",101444.0,0.0
1545224252333598690,,50749,,1545224252,323779664,"""base_link""",101443.0,0.0
1545224252370017972,,50750,,1545224252,347778128,"""base_link""",101442.0,0.0
1545224252380564171,,50751,,1545224252,363778128,"""base_link""",101442.0,0.0
1545224252398015321,,50752,,1545224252,383778128,"""base_link""",101442.0,0.0
1545224252421749617,,50753,,1545224252,403778128,"""base_link""",101443.0,0.0
1545224252433885485,,50754,,1545224252,423778128,"""base_link""",101442.0,0.0
1545224252463577418,,50755,,1545224252,443779056,"""base_link""",101444.0,0.0
