rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1545224250844323280,,10688,,1545224250,751940895,'',0.0,0.0150127951056,89,0.0,-9.15299510956,0.00291623757221
1545224250858203625,,10689,,1545224250,848360358,'',0.0,0.0141525771469,88,0.0,-9.32210350037,0.003062462667
1545224250961612283,,10690,,1545224250,952646448,'',0.0,0.0147915901616,88,0.0,-8.74079322815,0.00260038580745
1545224251057481011,,10691,,1545224251,51319077,'',0.0,0.0146226445213,88,0.0,-9.23754882812,0.000381661287975
1545224251157564370,,10692,,1545224251,150475454,'',0.0,0.014439670369,88,0.0,-9.23754882812,-0.000428371364251
1545224251271667546,,10693,,1545224251,249659226,'',0.0,0.0144551787525,88,0.0,-9.57048130035,-0.000686850689817
1545224251372064614,,10694,,1545224251,352480845,'',0.0,0.0145009253174,88,0.0,-8.98917102814,-0.00123265699949
1545224251457441988,,10695,,1545224251,449847960,'',0.0,0.014527884312,88,0.0,-9.48592758179,-0.000774037325755
1545224251560085525,,10696,,1545224251,551171774,'',0.0,0.0148435411975,88,0.0,-9.06844043732,-0.000892126001418
1545224251657630734,,10697,,1545224251,650604503,'',0.0,0.0151111781597,88,0.0,-9.15299510956,-1.13158566819e-05
1545224251760742983,,10698,,1545224251,752068525,'',0.0,0.0142444791272,88,0.0,-9.06844043732,3.73660477635e-05
1545224251855160202,,10699,,1545224251,849235849,'',0.0,0.014552205801,88,0.0,-9.40137290955,-0.000359131605364
1545224251959486748,,10700,,1545224251,951889188,'',0.0,0.0152424946427,88,0.0,-9.32210350037,-0.000210204496398
1545224252052273002,,10701,,1545224252,48477609,'',0.0,0.015351545997,88,0.0,-9.6550359726,0.000344368338119
1545224252158815684,,10702,,1545224252,152158963,'',0.0,0.0165826212615,88,0.0,-9.81885910034,-0.000102133126347
1545224252254097105,,10703,,1545224252,249364777,'',0.0,0.0154945123941,88,0.0,-10.2363462448,0.000414578593336
1545224252369141878,,10704,,1545224252,352301864,'',0.0,0.0156021304429,88,0.0,-9.73430538177,0.000118663941976
1545224252463905917,,10705,,1545224252,450016217,'',0.0,0.0150727601722,88,0.0,-9.73430538177,0.000583716086112
1545224252564267208,,10706,,1545224252,553040179,'',0.0,0.0145782269537,88,0.0,-9.73430538177,-2.52884929068e-05
1545224252657530254,,10707,,1545224252,647505121,'',0.0,0.0150656653568,88,0.0,-9.81885910034,-0.000307002745103
1545224252757616336,,10708,,1545224252,750899966,'',0.0,0.0151773653924,88,0.0,-9.90341377258,-0.000636179640424
1545224252852645322,,10709,,1545224252,847658803,'',0.0,0.0147672528401,88,0.0,-9.98268318176,-0.000521777430549
1545224252963470403,,10710,,1545224252,951757603,'',0.0,0.0140932677314,88,0.0,-9.81885910034,-0.000851871969644
1545224253067662231,,10711,,1545224253,48418212,'',0.0,0.0143004097044,88,0.0,-10.4001693726,-0.000585039728321
1545224253164069192,,10712,,1545224253,151733370,'',0.0,0.0133584700525,88,0.0,-10.1517915726,-0.000206159937079
1545224253256181878,,10713,,1545224253,250372771,'',0.0,0.0126137500629,88,0.0,-9.73430538177,0.000258954212768
1545224253366152862,,10714,,1545224253,353418295,'',0.0,0.0127345221117,88,0.0,-9.90341377258,0.000249711389188
1545224253472826979,,10715,,1545224253,454006957,'',0.0,0.0125129334629,88,0.0,-9.98268318176,0.000421855162131
1545224253564474149,,10716,,1545224253,553887914,'',0.0,0.0120601449162,88,0.0,-10.067237854,0.000566163682379
1545224253656256870,,10717,,1545224253,647932233,'',0.0,0.0119065111503,88,0.0,-10.3208999634,0.000537435000297
1545224253773321344,,10718,,1545224253,753331183,'',0.0,0.0124925170094,88,0.0,-9.73430538177,-0.000357008684659
1545224253859445868,,10719,,1545224253,846967224,'',0.0,0.0128107136115,88,0.0,-9.98268318176,-0.000656095566228
1545224253985323677,,10720,,1545224253,953402210,'',0.0,0.0127659747377,88,0.0,-10.4001693726,-0.00122840120457
1545224254067712652,,10721,,1545224254,53653166,'',0.0,0.0121464189142,87,0.0,-10.4847240448,-0.000289229152258
1545224254166038090,,10722,,1545224254,154759898,'',0.0,0.0118118366227,87,0.0,-10.1517915726,0.000467623031
1545224254255527480,,10723,,1545224254,250818947,'',0.0,0.0120177567005,87,0.0,-10.1517915726,0.000334774551447
1545224254361659911,,10724,,1545224254,349396578,'',0.0,0.0116195995361,87,0.0,-9.98268318176,-4.05935352319e-05
1545224254457053561,,10725,,1545224254,447964000,'',0.0,0.0118129821494,87,0.0,-9.98268318176,0.000233625178225
1545224254570433727,,10726,,1545224254,554650808,'',0.0,0.0122353313491,87,0.0,-9.98268318176,-6.57609780319e-05
1545224254667818448,,10727,,1545224254,649253511,'',0.0,0.0121803339571,87,0.0,-10.1517915726,-0.000228271324886
1545224254763076162,,10728,,1545224254,750319462,'',0.0,0.0119549902156,87,0.0,-9.6550359726,-0.00101720646489
1545224254868013689,,10729,,1545224254,855358726,'',0.0,0.0116469534114,87,0.0,-10.067237854,-0.00102722691372
1545224254959219702,,10730,,1545224254,950821841,'',0.0,0.0115277469158,87,0.0,-10.067237854,-0.00120375689585
1545224255057039267,,10731,,1545224255,46829589,'',0.0,0.0124258091673,87,0.0,-9.90341377258,-0.00202279421501
1545224255182924950,,10732,,1545224255,149809072,'',0.0,0.012024181895,87,0.0,-10.067237854,-0.00150655023754
1545224255256083807,,10733,,1545224255,247799206,'',0.0,0.0117970304564,87,0.0,-10.4001693726,-0.00172098726034
1545224255363201805,,10734,,1545224255,349060000,'',0.0,0.0116516975686,87,0.0,-10.4001693726,-0.00262010889128
1545224255453761312,,10735,,1545224255,447252476,'',0.0,0.010827860795,87,0.0,-9.73430538177,-0.00210413476452
1545224255557394150,,10736,,1545224255,551311746,'',0.0,0.0100203072652,87,0.0,-10.067237854,-0.00192047050223
1545224255653344292,,10737,,1545224255,647423764,'',0.0,0.00900021195412,87,0.0,-9.48592758179,-0.00173445045948
1545224255765512783,,10738,,1545224255,749845594,'',0.0,0.00833333469927,87,0.0,-9.98268318176,-0.000831534620374
1545224255852089395,,10739,,1545224255,847500313,'',0.0,0.00740832090378,87,0.0,-9.81885910034,-0.00153198698536
1545224255961342046,,10740,,1545224255,953793999,'',0.0,0.00696019176394,87,0.0,-9.81885910034,-0.00208656559698
1545224256056097263,,10741,,1545224256,49382790,'',0.0,0.00806240178645,87,0.0,-9.81885910034,-0.00172460009344
1545224256157890193,,10742,,1545224256,150838167,'',0.0,0.00888829678297,87,0.0,-9.32210350037,-0.00060076644877
1545224256276921363,,10743,,1545224256,249637932,'',0.0,0.0054292967543,87,0.0,-9.73430538177,-0.00867388769984
1545224256365899762,,10744,,1545224256,352727311,'',0.0,0.0094235194847,87,0.0,-9.6550359726,0.00253738486208
1545224256453721588,,10745,,1545224256,449779377,'',0.0,0.00589927844703,87,0.0,-9.15299510956,0.00378699786961
1545224256557566027,,10746,,1545224256,550309654,'',0.0,0.005084016826,87,0.0,-9.90341377258,0.00400941073895
1545224256658415386,,10747,,1545224256,646921878,'',0.0,0.00461378600448,87,0.0,-9.48592758179,-0.00277911685407
1545224256753943689,,10748,,1545224256,750125632,'',0.0,0.00451197987422,87,0.0,-9.48592758179,-0.000130932894535
1545224256853804749,,10749,,1545224256,847720351,'',0.0,0.00506133725867,87,0.0,-9.6550359726,0.00275329174474
1545224256957361693,,10750,,1545224256,949078020,'',0.0,0.00757779506966,87,0.0,-9.57048130035,0.000253052014159
1545224257067258182,,10751,,1545224257,50443866,'',0.0,0.00778384646401,87,0.0,-9.73430538177,0.000140364572871
1545224257158708410,,10752,,1545224257,151247424,'',0.0,0.00862869527191,87,0.0,-9.6550359726,-0.00203097541817
1545224257263377356,,10753,,1545224257,249599223,'',0.0,0.00848205760121,87,0.0,-9.06844043732,-0.00219918880612
1545224257370975830,,10754,,1545224257,354913539,'',0.0,0.00730084395036,87,0.0,-9.48592758179,-0.0041840262711
1545224257455472041,,10755,,1545224257,447426929,'',0.0,0.00602230243385,87,0.0,-9.40137290955,-0.00116745254491
1545224257556449933,,10756,,1545224257,553459054,'',0.0,0.00634611723945,87,0.0,-9.73430538177,-0.000413478934206
1545224257654978812,,10757,,1545224257,648554620,'',0.0,0.00599714973941,87,0.0,-9.57048130035,-0.00368498405442
1545224257777605487,,10758,,1545224257,749454479,'',0.0,0.00578433834016,87,0.0,-9.73430538177,-0.00401412229985
1545224257901547153,,10759,,1545224257,847225239,'',0.0,0.00639588292688,87,0.0,-9.73430538177,-0.000492075865623
1545224258037321360,,10760,,1545224257,948654210,'',0.0,0.00539419054985,87,0.0,-9.57048130035,-0.00516915135086
1545224258082851426,,10761,,1545224258,49022197,'',0.0,0.0068133957684,86,0.0,-9.73430538177,-0.00137346319389
1545224258180485544,,10762,,1545224258,150647052,'',0.0,0.00600480893627,86,0.0,-9.73430538177,-0.00575616536662
1545224258303622861,,10763,,1545224258,247103392,'',0.0,0.00834390893579,86,0.0,-9.81885910034,0.00145207205787
1545224258455313749,,10764,,1545224258,351234485,'',0.0,0.00731266103685,86,0.0,-9.57048130035,-0.000495404703543
1545224258475314786,,10765,,1545224258,448140302,'',0.0,0.00768102426082,86,0.0,-9.81885910034,0.00251864735037
1545224258566650510,,10766,,1545224258,548908079,'',0.0,0.00867254287004,86,0.0,-9.73430538177,0.00338655523956
1545224258656237449,,10767,,1545224258,648346695,'',0.0,0.00673844618723,86,0.0,-9.32210350037,-0.00365805183537
1545224258770356036,,10768,,1545224258,757209796,'',0.0,0.00775077799335,86,0.0,-9.90341377258,-0.00451073562726
1545224258854081146,,10769,,1545224258,847491896,'',0.0,0.00716151995584,86,0.0,-9.6550359726,-0.00176473916508
1545224258957993654,,10770,,1545224258,948556807,'',0.0,0.0055344090797,86,0.0,-9.81885910034,-0.0080827884376
1545224259068362062,,10771,,1545224259,48049590,'',0.0,0.00917939562351,86,0.0,-9.73430538177,-0.00128555600531
1545224259159145375,,10772,,1545224259,149677310,'',0.0,0.0111335515976,86,0.00999999977648,-9.32210350037,0.00516830058768
