rosbagTimestamp,data
1545311019132339131,18.6964073181
1545311019182639466,18.6356945038
1545311019231579047,18.7035503387
1545311019287212227,18.6928367615
1545311019333268248,18.6928367615
1545311019384056964,18.6821231842
1545311019435516435,18.6856937408
1545311019488099473,18.7071228027
1545311019535852840,18.6714076996
1545311019584982829,18.6856937408
1545311019635857229,18.6464080811
1545311019687405984,18.6999797821
1545311019736700106,18.6749801636
1545311019785795906,18.6856937408
1545311019838385621,18.6714076996
1545311019889458061,18.7106933594
1545311019940359881,18.6464080811
1545311019991215553,18.6821231842
1545311020038966090,18.6928367615
1545311020089910117,18.6785507202
1545311020141637446,18.6571216583
1545311020192148759,18.6535511017
1545311020239142288,18.6535511017
1545311020291824061,18.6678371429
1545311020342378287,18.6428375244
1545311020394432740,18.664264679
1545311020444610930,18.6356945038
1545311020495416630,18.6428375244
1545311020544833291,18.6321220398
1545311020594038796,18.6749801636
1545311020644835923,18.6499786377
1545311020696134271,18.6571216583
1545311020746164701,18.664264679
1545311020794992611,18.6321220398
1545311020846641822,18.6214084625
1545311020897588416,18.6249790192
1545311020950028179,18.6678371429
1545311020998862261,18.6428375244
1545311021049804753,18.6606941223
1545311021098508534,18.6499786377
1545311021150271067,18.6214084625
1545311021202027683,18.6714076996
1545311021250419566,18.6571216583
1545311021303249419,18.6785507202
1545311021351634334,18.6464080811
1545311021402143774,18.6821231842
1545311021452846845,18.6856937408
1545311021504105884,18.6892642975
1545311021551994129,18.6499786377
1545311021602563157,18.6678371429
1545311021653613319,18.6678371429
1545311021705302419,18.6749801636
1545311021753826622,18.6499786377
1545311021806399933,18.6892642975
1545311021859534905,18.6892642975
1545311021905607309,18.6678371429
1545311021956414760,18.6606941223
1545311022006433987,18.6178359985
1545311022056881020,18.6106929779
1545311022107410238,18.6356945038
1545311022159380856,18.6535511017
1545311022210363701,18.6535511017
1545311022259517226,18.664264679
1545311022310542607,18.6499786377
1545311022359898271,18.6499786377
1545311022413209003,18.6428375244
1545311022460463254,18.6606941223
1545311022510837468,18.6856937408
1545311022561041133,18.6678371429
1545311022612175365,18.6392650604
1545311022661435215,18.6249790192
1545311022712198538,18.664264679
1545311022763089528,18.6464080811
1545311022815739414,18.664264679
1545311022863329519,18.6678371429
1545311022915398909,18.7071228027
1545311022966716313,18.6821231842
1545311023017252379,18.6785507202
1545311023066340383,18.6678371429
1545311023114506265,18.6892642975
1545311023166858115,18.6785507202
1545311023217722240,18.6821231842
1545311023268816266,18.6928367615
1545311023319899139,18.6499786377
1545311023370146478,18.6821231842
1545311023418120221,18.7142658234
1545311023469508270,18.6964073181
1545311023522096720,18.6856937408
1545311023571161894,18.6964073181
1545311023622270836,18.6499786377
1545311023670324138,18.664264679
1545311023719816277,18.6606941223
1545311023772256297,18.6714076996
1545311023825566846,18.6356945038
1545311023871539024,18.7035503387
1545311023922515032,18.6928367615
1545311023971927303,18.6464080811
1545311024025268559,18.6535511017
1545311024077073309,18.6535511017
1545311024128082870,18.6964073181
1545311024175160319,18.6428375244
1545311024226965905,18.6678371429
1545311024277155213,18.664264679
1545311024329180779,18.664264679
1545311024377258599,18.6749801636
1545311024427283458,18.6464080811
1545311024477879485,18.6464080811
1545311024530950648,18.6714076996
1545311024580847875,18.664264679
1545311024629478053,18.6499786377
1545311024681921139,18.6892642975
1545311024732601543,18.6714076996
1545311024781823818,18.6678371429
1545311024834252872,18.6856937408
1545311024881092448,18.6785507202
1545311024934549177,18.6964073181
1545311024983375218,18.6892642975
1545311025034952481,18.6714076996
1545311025084244093,18.6714076996
1545311025135983801,18.6678371429
1545311025186546184,18.6714076996
1545311025238835758,18.6964073181
1545311025286945518,18.6892642975
1545311025336080831,18.7106933594
1545311025386987828,18.7035503387
1545311025436367873,18.7071228027
1545311025487771369,18.721408844
1545311025536936774,18.7356929779
1545311025588577871,18.7285518646
1545311025639038429,18.7071228027
1545311025692068701,18.71783638
1545311025738679344,18.6892642975
1545311025788917224,18.7106933594
1545311025842091774,18.7071228027
1545311025892789516,18.7071228027
1545311025941399389,18.6821231842
1545311025990189960,18.7285518646
1545311026042180907,18.71783638
1545311026091250867,18.6785507202
1545311026144344336,18.71783638
1545311026193337104,18.7356929779
1545311026246163603,18.6856937408
1545311026294103773,18.6999797821
1545311026344660619,18.6928367615
1545311026397817292,18.7142658234
1545311026446967348,18.7035503387
1545311026497753358,18.6892642975
1545311026547813892,18.721408844
